Phrase,Time,INF,IF,F,C
my watch fell in the water,5.142857,2,2,1,17
prevailing wind from the east,6.521739,1,0,1,24
never too rich and never too thin,6.352941,2,1,0,24
breathing is difficult,4.8,0,1,0,19
I can see the rings on Saturn,4.928571,2,0,1,21
physics and chemistry are hard,6.0,1,0,0,25
my bank account is overdrawn,5.236364,0,0,1,24
elections bring out the best,5.877551,0,2,0,22
we are having spaghetti,5.106383,0,2,1,18
time to go shopping,3.254237,1,0,0,15
a problem with the engine,4.581818,0,2,1,19
elephants are afraid of mice,5.433962,0,1,1,23
my favorite place to visit,4.551724,0,2,0,20
three two one zero blast off,4.842105,2,0,1,21
my favorite subject is psychology,6.105263,2,2,1,25
circumstances are unacceptable,6.0,0,0,0,28
watch out for low flying objects,5.684211,0,1,0,26
if at first you do not succeed,6.12766,1,0,1,23
please provide your date of birth,7.148936,0,0,0,28
we run the risk of failure,5.361702,0,1,1,20
prayer in schools offends some,6.782609,0,0,0,26
he is just like everyone else,5.877551,0,1,1,23
great disturbance in the force,5.886792,1,2,0,23
love means many things,4.145455,0,0,0,19
you must be getting old,4.851064,1,0,0,18
the world is a stage,3.254237,0,0,0,16
can I skate with sister today,5.538462,1,2,0,21
neither a borrower nor a lender be,6.461538,0,2,0,26
one heck of a question,3.857143,1,1,0,16
question that must be answered,6.638298,1,2,0,23
beware the ides of March,4.444444,2,0,1,18
double double toil and trouble,5.288136,1,2,1,23
the power of denial,3.428571,0,0,0,16
I agree with you,3.391304,1,0,0,12
do not say anything,3.368421,1,0,0,15
play it again Sam,3.652174,0,0,0,14
the force is with you,3.578947,1,1,0,15
you are not a jedi yet,3.457627,0,0,0,17
an offer you cannot refuse,4.551724,2,1,0,19
are you talking to me,4.25,1,0,0,16
yes you are very smart,3.661017,0,1,0,17
all work and no play,3.622642,0,0,0,16
hair gel is very greasy,4.222222,1,0,0,18
Valium in the economy size,4.8,0,0,1,22
the facts get in the way,4.071429,0,0,0,19
the dreamers of dreams,3.931034,0,0,0,19
did you have a good time,4.301887,0,1,0,18
space is a high priority,4.067797,0,1,0,19
you are a wonderful example,5.307692,2,0,0,21
do not squander your time,4.846154,0,2,1,19
do not drink too much,4.163265,1,0,0,16
take a coffee break,3.764706,0,0,0,16
popularity is desired by all,5.236364,2,2,1,20
the music is better than it sounds,7.0,1,1,0,26
starlight and dewdrop,4.851064,1,0,0,18
the living is easy,3.75,1,0,0,14
fish are jumping,2.896552,1,1,0,12
the cotton is high,3.333333,1,0,0,14
drove my chevy to the levee,5.73913,1,1,0,20
but the levee was dry,4.25,1,1,0,15
I took the rover from the shop,5.877551,1,0,0,23
movie about a nutty professor,5.882353,2,0,0,23
come and see our new car,4.222222,1,0,0,18
coming up with killer sound bites,5.694915,1,2,0,25
I am going to a music lesson,4.8,0,0,0,22
the opposing team is over there,6.24,0,1,1,25
soon we will return from the city,5.586207,2,0,1,25
I am wearing a tie and a jacket,6.0,2,2,1,20
the quick brown fox jumped,4.474576,2,0,1,20
all together in one big pile,4.758621,2,1,1,20
wear a crown with many jewels,5.647059,1,2,1,21
there will be some fog tonight,5.882353,1,1,1,23
I am allergic to bees and peanuts,6.0,1,0,0,26
he is still on our team,4.408163,0,1,0,17
the dow jones index has risen,5.538462,0,1,1,23
my preferred treat is chocolate,6.0,2,0,1,25
the king sends you to the tower,5.555556,2,1,1,22
we are subjects and must obey,5.647059,2,1,1,21
mom made her a turtleneck,4.5,0,0,0,21
goldilocks and the three bears,5.571429,1,0,0,25
we went grocery shopping,4.941176,0,0,1,21
the assignment is due today,5.75,0,1,0,22
what you see is what you get,5.387755,1,0,0,21
for your information only,5.5,0,2,0,20
a quarter of a century,3.857143,0,1,0,17
the store will close at ten,5.73913,2,0,0,20
head shoulders knees and toes,5.882353,1,0,1,24
vanilla flavored ice cream,5.111111,1,1,1,21
frequently asked questions,5.433962,2,1,1,21
round robin scheduling,4.444444,2,1,1,17
information super highway,4.758621,0,1,1,22
my favorite web browser,4.528302,1,2,0,17
the laser printer is jammed,5.018182,0,0,0,23
all good boys deserve fudge,5.87234,2,0,0,21
the second largest country,5.632653,2,1,1,20
call for more details,3.857143,1,1,0,16
just in time for the party,4.421053,1,2,1,18
have a good weekend,3.428571,1,1,0,14
video camera with a zoom lens,5.433962,1,1,0,22
what a monkey sees a monkey will do,6.857143,0,2,1,26
that is very unfortunate,4.754717,1,2,0,18
the back yard of our house,5.361702,1,0,0,20
this is a very good idea,4.145455,0,1,0,18
reading week is just about here,5.886792,2,0,1,24
our fax number has changed,4.981132,2,1,1,19
thank you for your help,4.071429,1,1,0,17
no exchange without a bill,5.73913,0,1,0,21
the early bird gets the worm,5.75,1,2,0,20
buckle up for safety,3.517241,0,0,0,17
this is too much to handle,5.478261,1,1,1,19
protect your environment,5.176471,1,2,0,19
world population is growing,5.647059,0,2,1,22
the library is closed today,4.758621,0,0,0,23
Mary had a little lamb,3.789474,0,0,0,18
teaching services will help,5.142857,2,1,1,21
we accept personal checks,4.474576,1,2,1,19
this is a non profit organization,6.339623,1,2,0,25
user friendly interface,5.142857,2,2,1,17
healthy food is good for you,6.0,1,1,1,21
hands on experience with a job,5.882353,2,2,0,21
this watch is too expensive,5.52,1,1,0,21
the postal service is very slow,6.0,0,0,1,26
communicate through email,5.87234,2,2,0,19
the capital of our nation,4.666667,1,2,0,18
travel at the speed of light,5.632653,1,0,1,22
I do not fully agree with you,5.411765,0,2,1,21
gas bills are sent monthly,5.5,2,1,0,19
earth quakes are predictable,5.769231,2,0,1,23
life is but a dream,3.529412,1,1,0,13
take it to the recycling depot,5.084746,2,2,1,21
sent this by registered mail,5.142857,0,2,0,22
fall is my favorite season,5.73913,2,0,1,20
a fox is a very smart animal,4.981132,2,1,1,19
the kids are very excited,4.846154,2,0,0,19
parking lot is full of trucks,5.236364,0,2,0,22
my bike has a flat tire,4.0,1,0,0,17
do not walk too quickly,4.071429,1,1,0,17
a duck quacks to ask for food,5.018182,1,2,1,20
limited warranty of two years,6.382979,1,0,1,24
the four seasons will come,4.8,1,2,0,19
the sun rises in the east,4.137931,0,0,1,20
it is very windy today,4.5,0,1,0,17
do not worry about this,4.071429,1,0,0,18
dashing through the snow,4.581818,1,1,1,19
want to join us for lunch,4.8,0,0,0,20
stay away from strangers,4.271186,0,0,0,21
accompanied by an adult,4.8,0,0,1,20
see you later alligator,5.217391,1,2,0,17
make my day you sucker,4.595745,1,0,0,17
I can play much better now,4.344828,2,1,0,18
she wears too much makeup,4.271186,1,2,1,18
my bare face in the wind,4.653061,1,0,0,18
batman wears a cape,3.310345,0,1,0,15
I hate baking pies,3.913043,0,0,0,15
lydia wants to go home,3.927273,1,0,0,17
win first prize in the contest,5.263158,2,1,1,22
freud wrote of the ego,4.0,1,1,0,16
I do not care if you do that,4.5,1,2,1,18
always cover all the bases,5.387755,2,0,1,20
nobody cares anymore,4.075472,0,0,0,18
can we play cards tonight,4.344828,0,1,1,20
get rid of that immediately,4.842105,2,1,0,20
I watched blazing saddles,4.888889,0,1,0,21
the sum of the parts,3.555556,0,0,0,16
they love to yap about nothing,6.521739,2,2,1,21
peek out the window,4.0,0,0,0,16
be home before midnight,4.705882,0,0,0,20
he played a pimp in that movie,5.647059,2,1,1,21
I skimmed through your proposal,7.043478,2,1,1,24
he was wearing a sweatshirt,5.75,1,2,1,20
no more war no more bloodshed,4.965517,1,0,0,23
toss the ball around,3.849057,1,1,0,15
I will meet you at noon,4.32,0,0,0,18
