Phrase,Time,INF,IF,F,C
my watch fell in the water,4.344828,0,0,0,21
prevailing wind from the east,5.454545,1,0,1,24
never too rich and never too thin,5.4,1,1,0,25
breathing is difficult,4.0,1,0,1,19
I can see the rings on Saturn,4.380952,1,1,1,21
physics and chemistry are hard,4.588235,0,1,0,25
my bank account is overdrawn,4.571429,0,1,0,23
elections bring out the best,4.114286,0,0,1,24
we are having spaghetti,4.0,0,0,1,20
time to go shopping,2.953846,0,0,0,16
a problem with the engine,4.131148,1,1,1,19
elephants are afraid of mice,4.8,1,0,1,23
my favorite place to visit,4.4,0,1,1,21
three two one zero blast off,4.0,0,0,0,23
my favorite subject is psychology,5.4375,1,1,0,27
circumstances are unacceptable,6.0,0,1,1,27
watch out for low flying objects,4.695652,0,0,1,27
if at first you do not succeed,4.8,0,1,0,23
please provide your date of birth,5.014925,1,1,0,26
we run the risk of failure,4.064516,1,0,1,20
prayer in schools offends some,4.457143,1,1,0,24
he is just like everyone else,5.236364,1,0,1,23
great disturbance in the force,4.8,1,1,0,24
love means many things,3.677419,0,0,0,19
you must be getting old,3.8,0,0,0,19
the world is a stage,3.2,0,0,0,16
can I skate with sister today,4.8,1,0,1,23
neither a borrower nor a lender be,5.014925,0,0,1,28
one heck of a question,3.428571,0,0,0,18
question that must be answered,4.952381,1,1,0,24
beware the ides of March,3.529412,0,0,0,20
double double toil and trouble,5.473684,0,0,1,26
the power of denial,3.368421,0,0,0,16
I agree with you,2.294118,0,0,0,13
do not say anything,3.428571,0,0,0,16
play it again Sam,2.709677,0,0,0,14
the force is with you,3.0,0,0,0,17
you are not a jedi yet,3.0,0,0,0,17
an offer you cannot refuse,4.474576,0,0,0,22
are you talking to me,3.238095,0,0,0,17
yes you are very smart,3.857143,0,0,0,18
all work and no play,2.742857,0,0,0,16
hair gel is very greasy,3.454545,0,0,0,19
Valium in the economy size,3.940299,0,0,1,22
the facts get in the way,3.257143,0,0,0,19
the dreamers of dreams,3.619048,0,0,0,19
did you have a good time,3.8,0,0,0,19
space is a high priority,3.809524,1,0,0,19
you are a wonderful example,4.758621,1,1,0,21
do not squander your time,4.0,0,1,1,20
do not drink too much,3.709091,0,0,0,17
take a coffee break,3.096774,0,0,0,16
popularity is desired by all,5.052632,1,1,1,22
the music is better than it sounds,5.694915,1,0,1,27
starlight and dewdrop,3.5625,0,0,0,19
the living is easy,3.157895,0,0,0,15
fish are jumping,2.8,0,0,0,14
the cotton is high,2.571429,0,0,0,15
drove my chevy to the levee,4.061538,1,0,0,21
but the levee was dry,3.1875,0,0,0,17
I took the rover from the shop,4.5,1,0,1,23
movie about a nutty professor,4.545455,0,0,0,25
come and see our new car,3.304348,0,0,0,19
coming up with killer sound bites,5.419355,0,0,0,28
I am going to a music lesson,4.327869,1,1,1,20
the opposing team is over there,4.8,1,1,0,24
soon we will return from the city,5.785714,1,1,1,25
I am wearing a tie and a jacket,5.052632,0,1,0,23
the quick brown fox jumped,4.631579,0,1,0,21
all together in one big pile,4.451613,0,0,0,23
wear a crown with many jewels,4.114286,1,0,0,23
there will be some fog tonight,4.477612,0,1,0,24
I am allergic to bees and peanuts,5.142857,0,1,1,26
he is still on our team,3.272727,0,0,0,18
the dow jones index has risen,4.430769,1,0,1,23
my preferred treat is chocolate,5.0625,1,1,1,25
the king sends you to the tower,4.347826,0,0,1,25
we are subjects and must obey,4.430769,1,0,0,23
mom made her a turtleneck,4.131148,1,1,0,19
