Phrase,Time,INF,IF,F,C
my watch fell in the water,8.129032,0,1,0,20
prevailing wind from the east,6.666667,1,1,0,23
never too rich and never too thin,7.043478,1,1,1,25
breathing is difficult,6.666667,1,1,0,18
I can see the rings on Saturn,7.263158,1,1,1,21
physics and chemistry are hard,6.24,1,1,1,24
my bank account is overdrawn,6.857143,0,0,0,24
elections bring out the best,9.6,0,1,1,23
we are having spaghetti,4.897959,0,0,0,20
time to go shopping,5.647059,0,0,0,16
a problem with the engine,5.04,1,1,1,19
elephants are afraid of mice,6.857143,1,0,0,23
my favorite place to visit,7.333333,0,0,1,22
three two one zero blast off,6.9,0,1,0,22
my favorite subject is psychology,9.666667,1,0,0,28
circumstances are unacceptable,8.195122,0,1,0,27
watch out for low flying objects,8.1,0,0,1,27
if at first you do not succeed,7.783784,0,0,0,24
please provide your date of birth,8.0,1,0,0,27
we run the risk of failure,5.04,1,1,1,19
prayer in schools offends some,7.255814,0,1,1,25
he is just like everyone else,7.783784,0,0,0,24
great disturbance in the force,6.5,1,1,1,24
love means many things,4.75,0,0,0,19
you must be getting old,5.846154,0,0,0,19
the world is a stage,5.485714,0,0,0,16
can I skate with sister today,5.877551,0,0,0,24
neither a borrower nor a lender be,8.842105,0,0,0,28
one heck of a question,4.408163,0,0,0,18
question that must be answered,6.24,1,0,1,25
beware the ides of March,5.217391,0,0,1,20
double double toil and trouble,10.064516,1,1,1,24
the power of denial,4.266667,0,0,0,16
I agree with you,4.216216,0,0,0,13
do not say anything,5.189189,0,0,0,16
play it again Sam,3.574468,0,0,0,14
the force is with you,4.08,0,0,0,17
you are not a jedi yet,4.533333,0,0,0,17
an offer you cannot refuse,7.764706,1,0,1,21
are you talking to me,4.340426,0,0,0,17
yes you are very smart,5.538462,0,0,0,18
all work and no play,4.8,0,0,0,16
hair gel is very greasy,6.514286,0,0,0,19
Valium in the economy size,8.25,0,1,0,21
the facts get in the way,7.6,0,0,0,19
the dreamers of dreams,4.653061,0,0,0,19
did you have a good time,6.0,0,0,0,19
space is a high priority,7.5,0,0,0,20
you are a wonderful example,5.632653,0,0,1,23
do not squander your time,6.146341,0,1,1,20
do not drink too much,4.97561,0,0,0,17
take a coffee break,4.8,0,0,0,16
popularity is desired by all,6.4,0,1,0,23
the music is better than it sounds,7.636364,0,1,1,27
starlight and dewdrop,6.705882,0,0,0,19
the living is easy,5.454545,0,0,0,15
fish are jumping,4.0,0,0,0,14
the cotton is high,5.142857,0,0,0,15
drove my chevy to the levee,7.333333,0,0,0,22
but the levee was dry,5.513514,0,0,0,17
I took the rover from the shop,8.0,1,0,0,23
movie about a nutty professor,6.0,0,0,0,25
come and see our new car,6.705882,0,0,0,19
coming up with killer sound bites,6.72,1,0,1,27
I am going to a music lesson,5.617021,1,1,0,20
the opposing team is over there,6.367347,1,0,0,25
soon we will return from the city,8.756757,1,0,0,26
I am wearing a tie and a jacket,7.2,0,1,1,23
the quick brown fox jumped,6.947368,1,0,1,21
all together in one big pile,6.731707,1,0,0,22
wear a crown with many jewels,9.6,1,1,0,22
there will be some fog tonight,7.5,1,1,0,23
I am allergic to bees and peanuts,7.534884,1,1,1,25
he is still on our team,4.408163,0,0,0,18
the dow jones index has risen,6.26087,1,1,1,22
my preferred treat is chocolate,6.612245,0,0,1,27
the king sends you to the tower,6.666667,0,0,1,25
we are subjects and must obey,8.727273,0,0,1,24
mom made her a turtleneck,7.2,1,0,0,20
goldilocks and the three bears,9.176471,1,0,1,25
we went grocery shopping,5.478261,0,0,1,21
the assignment is due today,7.263158,0,1,0,22
what you see is what you get,5.617021,1,0,1,21
for your information only,8.8,0,0,0,22
a quarter of a century,6.352941,0,0,0,18
the store will close at ten,5.866667,0,0,1,22
head shoulders knees and toes,9.677419,0,0,0,25
vanilla flavored ice cream,7.263158,0,0,1,23
frequently asked questions,8.727273,1,0,0,23
round robin scheduling,8.0,1,0,0,19
information super highway,5.87234,1,0,0,22
my favorite web browser,7.058824,1,1,1,18
the laser printer is jammed,6.9,1,1,0,21
all good boys deserve fudge,7.885714,1,0,1,22
the second largest country,5.632653,0,0,1,23
call for more details,6.545455,0,0,0,18
just in time for the party,6.461538,1,0,1,20
have a good weekend,5.647059,0,0,0,16
video camera with a zoom lens,7.02439,1,1,1,22
what a monkey sees a monkey will do,9.882353,1,0,1,27
that is very unfortunate,7.411765,1,1,1,19
the back yard of our house,6.461538,1,0,0,20
this is a very good idea,5.428571,0,0,0,19
reading week is just about here,6.638298,1,0,0,25
our fax number has changed,7.542857,1,1,0,20
thank you for your help,6.333333,0,0,0,19
no exchange without a bill,6.285714,1,0,1,21
the early bird gets the worm,8.903226,0,1,1,22
buckle up for safety,6.181818,0,0,0,17
this is too much to handle,6.3,1,0,1,20
protect your environment,5.28,0,1,1,21
world population is growing,6.857143,1,1,0,22
the library is closed today,6.9,0,0,1,23
Mary had a little lamb,6.0,0,0,0,18
teaching services will help,9.6,0,1,0,23
we accept personal checks,7.135135,0,0,0,22
this is a non profit organization,9.882353,1,0,1,27
user friendly interface,5.6,1,0,0,20
healthy food is good for you,8.625,1,1,1,21
hands on experience with a job,6.122449,1,1,0,23
this watch is too expensive,8.625,0,1,0,22
the postal service is very slow,7.428571,0,1,1,25
communicate through email,5.87234,1,0,1,22
the capital of our nation,8.4,1,0,0,20
travel at the speed of light,6.571429,0,1,1,22
I do not fully agree with you,6.133333,0,0,0,23
gas bills are sent monthly,5.866667,1,0,0,21
earth quakes are predictable,6.666667,0,1,1,24
life is but a dream,3.913043,0,0,0,15
take it to the recycling depot,7.894737,1,0,1,24
sent this by registered mail,7.2,1,0,1,23
fall is my favorite season,8.8,0,1,1,21
a fox is a very smart animal,5.617021,1,0,1,21
the kids are very excited,6.3,1,0,1,20
parking lot is full of trucks,6.12766,1,0,0,23
my bike has a flat tire,4.32,0,0,0,18
do not walk too quickly,4.75,0,0,0,19
a duck quacks to ask for food,8.903226,1,1,0,21
limited warranty of two years,6.0,0,0,1,25
the four seasons will come,7.764706,0,0,1,22
the sun rises in the east,5.581395,0,0,1,20
it is very windy today,6.545455,0,0,0,18
do not worry about this,6.705882,0,0,0,19
dashing through the snow,7.636364,1,1,0,19
want to join us for lunch,7.058824,0,1,1,19
stay away from strangers,6.3,0,0,1,21
accompanied by an adult,6.0,0,0,0,20
see you later alligator,4.8,1,0,1,19
make my day you sucker,5.268293,0,0,0,18
I can play much better now,6.0,1,1,1,19
she wears too much makeup,5.142857,1,0,0,20
my bare face in the wind,6.0,0,0,0,19
batman wears a cape,4.173913,0,0,0,16
I hate baking pies,4.5,0,0,0,15
lydia wants to go home,4.909091,0,0,0,18
win first prize in the contest,6.122449,0,1,0,24
freud wrote of the ego,5.4,0,0,0,18
I do not care if you do that,8.4,1,1,0,19
always cover all the bases,5.28,0,0,1,22
nobody cares anymore,6.545455,0,0,0,18
can we play cards tonight,5.6,1,0,0,20
get rid of that immediately,9.2,0,0,1,23
I watched blazing saddles,8.0,0,1,0,21
the sum of the parts,3.84,0,0,0,16
they love to yap about nothing,10.0,1,1,1,23
peek out the window,5.647059,0,0,0,16
be home before midnight,5.333333,1,0,1,19
he played a pimp in that movie,7.02439,0,0,1,24
I skimmed through your proposal,7.043478,1,1,0,25
he was wearing a sweatshirt,5.87234,1,0,1,22
no more war no more bloodshed,6.12766,0,1,0,23
toss the ball around,4.636364,0,0,0,17
I will meet you at noon,4.5,0,0,0,18
I want to hold your hand,6.333333,0,0,0,19
the children are playing,5.727273,0,0,0,21
superman never wore a mask,8.25,1,1,0,20
I listen to the tape everyday,9.290323,0,0,0,24
he is shouting loudly,4.8,0,0,0,18
correct your diction immediately,9.157895,0,0,0,29
seasoned golfers love the game,6.5,1,0,1,25
he cooled off after she left,6.418605,1,1,1,21
my dog sheds his hair,4.744186,0,0,0,17
join us on the patio,4.923077,0,0,0,16
these cookies are so amazing,8.470588,1,0,0,23
I can still feel your presence,7.142857,0,1,1,24
the dog will bite you,4.434783,0,0,0,17
a most ridiculous thing,5.0,0,0,1,20
where did you get that tie,6.0,1,1,1,19
what a lovely red jacket,6.0,1,1,0,18
do you like to shop on Sunday,6.418605,0,0,0,23
I spilled coffee on the carpet,10.0,0,0,1,25
the largest of the five oceans,8.823529,1,0,0,24
shall we play a round of cards,9.290323,1,1,1,22
olympic athletes use drugs,8.903226,0,0,1,23
my mother makes good cookies,5.877551,0,1,1,23
do a good deed to someone,5.0,1,0,1,19
quick there is someone knocking,8.756757,1,0,0,26
flashing red light means stop,6.382979,1,1,0,23
sprawling subdivisions are bad,8.756757,1,0,1,26
where did I leave my glasses,8.117647,0,0,0,23
on the way to the cottage,7.058824,1,1,0,18
a lot of chlorine in the water,7.578947,0,0,0,24
do not drink the water,6.171429,0,0,0,18
my car always breaks in the winter,8.0,0,1,0,27
santa claus got stuck,5.142857,0,0,0,18
public transit is much faster,6.382979,1,0,0,24
zero in on the facts,4.266667,0,0,0,16
make up a few more phrases,5.142857,0,0,0,21
my fingers are very cold,7.272727,0,1,1,19
rain rain go away,4.0,0,0,0,14
bad for the environment,6.153846,0,1,0,19
universities are too expensive,7.043478,1,0,0,26
the price of gas is high,6.162162,0,0,0,19
the winner of the race,6.171429,0,0,0,18
we drive on parkways,5.666667,0,0,0,17
we park in driveways,4.636364,0,0,0,17
go out for some pizza and beer,6.26087,1,1,0,22
effort is what it will take,7.333333,0,1,1,21
where can my little dog be,6.146341,1,1,1,19
if you were not so stupid,7.058824,1,0,1,19
not quite so smart as you think,9.677419,1,0,1,24
do you like to go camping,6.153846,0,1,1,19
this person is a disaster,5.361702,1,1,1,19
the imagination of the nation,7.894737,1,0,1,24
universally understood to be wrong,7.5,0,1,0,29
listen to five hours of opera,6.545455,1,1,1,22
an occasional taste of chocolate,7.304348,0,1,1,27
victims deserve more redress,6.25,0,0,0,25
the protesters blocked all traffic,8.780488,0,0,1,30
the acceptance speech was boring,7.0,1,1,0,26
work hard to reach the summit,5.76,0,1,0,23
a little encouragement is needed,7.466667,0,0,1,28
stiff penalty for staying out late,10.875,0,0,1,29
the pen is mightier than the sword,9.081081,0,0,0,28
exceed the maximum speed limit,8.210526,1,0,1,25
in sharp contrast to your words,8.432432,0,1,1,25
this leather jacket is too warm,7.428571,1,0,0,25
consequences of a wrong turn,8.228571,0,1,1,23
