Phrase,Time,INF,IF,F,C
my watch fell in the water,3.818182,2,2,1,17
prevailing wind from the east,4.411765,1,2,1,22
never too rich and never too thin,5.785714,0,2,0,25
breathing is difficult,3.636364,0,1,1,19
I can see the rings on Saturn,5.307692,1,0,1,22
physics and chemistry are hard,5.672727,0,0,1,26
my bank account is overdrawn,5.538462,0,1,0,23
elections bring out the best,4.5,2,2,1,20
we are having spaghetti,3.75,1,0,0,19
time to go shopping,3.047619,1,0,0,15
a problem with the engine,4.754717,1,0,0,20
elephants are afraid of mice,4.430769,2,2,0,20
my favorite place to visit,4.327869,0,0,0,22
three two one zero blast off,4.6,1,1,0,21
my favorite subject is psychology,6.444444,2,2,0,25
circumstances are unacceptable,5.894737,2,2,1,24
watch out for low flying objects,5.491525,0,1,0,26
if at first you do not succeed,4.363636,1,1,1,22
please provide your date of birth,5.169231,2,0,0,26
we run the risk of failure,4.0,2,2,0,17
prayer in schools offends some,5.032258,0,0,1,26
he is just like everyone else,4.721311,2,2,1,20
great disturbance in the force,5.473684,2,1,1,23
love means many things,3.352941,1,1,0,17
you must be getting old,3.737705,1,0,0,18
the world is a stage,2.823529,1,1,0,14
can I skate with sister today,5.236364,0,1,1,23
neither a borrower nor a lender be,5.694915,0,2,0,26
one heck of a question,3.428571,1,1,0,16
question that must be answered,4.727273,1,2,0,23
beware the ides of March,3.809524,2,1,0,17
double double toil and trouble,5.114754,1,2,0,23
the power of denial,3.490909,0,1,0,15
I agree with you,2.516129,1,0,0,12
do not say anything,3.764706,0,0,0,16
play it again Sam,3.0,1,1,0,12
the force is with you,3.642857,0,0,0,17
you are not a jedi yet,3.517241,1,0,0,16
an offer you cannot refuse,4.888889,2,2,0,18
are you talking to me,3.457627,0,0,0,17
yes you are very smart,3.176471,0,1,0,17
all work and no play,3.555556,0,0,0,16
hair gel is very greasy,3.677419,1,1,0,17
Valium in the economy size,4.888889,0,1,1,21
the facts get in the way,3.5625,0,1,0,18
the dreamers of dreams,4.384615,1,0,0,18
did you have a good time,3.454545,1,0,0,18
space is a high priority,3.636364,2,1,1,17
you are a wonderful example,4.119403,0,2,1,21
do not squander your time,4.2,1,2,0,18
do not drink too much,3.4,1,1,0,15
take a coffee break,3.096774,1,0,0,15
popularity is desired by all,4.235294,2,0,0,22
the music is better than it sounds,5.508197,2,0,0,26
starlight and dewdrop,3.5625,1,1,0,17
the living is easy,3.050847,0,0,0,15
fish are jumping,2.666667,1,1,0,12
the cotton is high,2.647059,0,1,0,14
drove my chevy to the levee,4.0,2,1,1,19
but the levee was dry,3.344262,0,0,0,17
I took the rover from the shop,4.298507,1,0,1,23
movie about a nutty professor,5.882353,0,0,1,25
come and see our new car,3.507692,0,1,0,18
coming up with killer sound bites,5.6,0,1,1,27
I am going to a music lesson,4.0,2,2,1,18
the opposing team is over there,4.656716,2,0,1,24
soon we will return from the city,6.230769,1,1,1,25
I am wearing a tie and a jacket,4.235294,2,2,0,20
the quick brown fox jumped,4.714286,0,2,1,20
all together in one big pile,4.928571,0,1,0,22
wear a crown with many jewels,5.052632,2,0,1,22
there will be some fog tonight,5.084746,1,2,1,22
I am allergic to bees and peanuts,5.586207,0,2,0,25
he is still on our team,3.375,1,1,0,16
the dow jones index has risen,5.333333,2,0,0,22
my preferred treat is chocolate,6.230769,0,1,1,26
the king sends you to the tower,5.769231,2,0,0,23
we are subjects and must obey,4.965517,0,1,0,23
mom made her a turtleneck,4.2,1,1,0,19
goldilocks and the three bears,5.37931,0,2,1,24
we went grocery shopping,3.9375,1,1,0,19
the assignment is due today,4.058824,2,0,1,21
what you see is what you get,4.4,2,0,1,20
for your information only,4.474576,0,2,0,20
a quarter of a century,3.789474,0,1,0,17
the store will close at ten,3.882353,0,1,1,21
head shoulders knees and toes,4.761905,1,0,0,24
vanilla flavored ice cream,4.181818,0,2,0,21
frequently asked questions,4.965517,2,0,1,22
round robin scheduling,3.529412,2,1,1,17
information super highway,5.018182,2,1,1,20
my favorite web browser,4.444444,2,1,0,17
the laser printer is jammed,5.018182,1,0,0,22
all good boys deserve fudge,5.307692,1,0,0,22
the second largest country,4.451613,2,2,0,19
call for more details,3.789474,1,0,0,17
just in time for the party,4.2,1,0,1,20
have a good weekend,3.254237,1,0,0,15
video camera with a zoom lens,4.721311,0,1,0,23
what a monkey sees a monkey will do,5.694915,1,1,1,26
that is very unfortunate,4.271186,2,0,1,19
the back yard of our house,4.344828,2,1,1,18
this is a very good idea,4.071429,1,0,0,18
reading week is just about here,4.727273,2,0,0,24
our fax number has changed,4.981132,0,1,0,21
thank you for your help,4.071429,1,0,0,18
no exchange without a bill,4.190476,1,2,1,19
the early bird gets the worm,4.928571,0,1,1,22
buckle up for safety,3.290323,1,1,0,15
this is too much to handle,3.9375,1,1,1,19
protect your environment,4.888889,0,1,1,21
world population is growing,4.881356,1,1,0,22
the library is closed today,4.928571,1,1,0,21
Mary had a little lamb,3.428571,1,0,0,17
teaching services will help,4.298507,2,2,0,20
we accept personal checks,4.125,2,2,1,18
this is a non profit organization,5.694915,0,2,1,26
user friendly interface,3.876923,2,2,1,17
healthy food is good for you,5.018182,0,1,1,22
hands on experience with a job,4.545455,0,1,0,24
this watch is too expensive,4.3125,1,2,1,20
the postal service is very slow,4.727273,2,1,1,23
communicate through email,4.451613,2,1,0,20
the capital of our nation,3.818182,0,1,0,20
travel at the speed of light,4.928571,1,2,1,20
I do not fully agree with you,4.758621,2,1,0,20
gas bills are sent monthly,4.714286,0,0,1,22
earth quakes are predictable,5.263158,2,2,0,21
life is but a dream,3.396226,0,0,0,15
take it to the recycling depot,5.172414,0,2,1,23
sent this by registered mail,4.363636,2,1,1,21
fall is my favorite season,3.940299,2,2,0,18
a fox is a very smart animal,4.8,1,1,1,20
the kids are very excited,3.876923,2,1,1,18
parking lot is full of trucks,4.965517,1,2,0,21
my bike has a flat tire,3.176471,1,1,0,16
do not walk too quickly,3.454545,0,1,0,18
a duck quacks to ask for food,4.52459,1,2,1,20
limited warranty of two years,4.761905,1,2,0,22
the four seasons will come,4.474576,2,0,1,20
the sun rises in the east,4.363636,2,0,0,18
it is very windy today,3.661017,1,1,0,16
do not worry about this,4.470588,1,1,0,17
dashing through the snow,4.666667,2,1,0,18
want to join us for lunch,4.444444,0,2,1,18
stay away from strangers,4.0,1,1,1,19
accompanied by an adult,3.58209,1,1,0,18
see you later alligator,4.285714,0,0,1,20
make my day you sucker,3.483871,0,0,0,18
I can play much better now,4.421053,2,1,1,18
she wears too much makeup,4.581818,2,2,0,17
my bare face in the wind,4.470588,1,1,0,17
batman wears a cape,3.622642,1,0,0,15
I hate baking pies,3.0,1,0,0,14
lydia wants to go home,3.223881,0,0,0,18
win first prize in the contest,4.6875,2,1,1,22
freud wrote of the ego,3.927273,1,0,0,17
I do not care if you do that,4.846154,1,2,0,18
always cover all the bases,4.631579,1,2,0,19
nobody cares anymore,4.075472,1,1,0,16
can we play cards tonight,4.0,0,1,1,20
get rid of that immediately,4.842105,1,1,1,21
I watched blazing saddles,4.888889,1,0,0,21
the sum of the parts,3.622642,0,1,0,15
they love to yap about nothing,5.882353,2,2,0,21
peek out the window,3.555556,1,0,0,15
be home before midnight,3.636364,0,2,1,18
he played a pimp in that movie,4.8,1,1,1,22
I skimmed through your proposal,4.764706,2,0,1,25
he was wearing a sweatshirt,4.677966,1,0,1,22
no more war no more bloodshed,4.298507,0,1,1,23
toss the ball around,3.457627,0,1,0,16
I will meet you at noon,3.789474,1,1,0,16
I want to hold your hand,3.931034,0,0,0,19
the children are playing,4.666667,1,0,1,20
superman never wore a mask,4.551724,1,1,0,20
I listen to the tape everyday,4.571429,2,1,1,21
he is shouting loudly,3.927273,1,0,0,17
correct your diction immediately,5.353846,1,0,1,28
seasoned golfers love the game,5.114754,2,1,0,23
he cooled off after she left,4.058824,2,1,0,20
my dog sheds his hair,3.849057,1,0,0,16
join us on the patio,3.692308,0,1,0,15
these cookies are so amazing,4.298507,2,0,1,22
I can still feel your presence,5.263158,0,0,0,25
the dog will bite you,3.044776,0,1,0,16
a most ridiculous thing,3.529412,2,1,1,17
where did you get that tie,4.5,0,2,1,19
what a lovely red jacket,4.0,2,1,0,17
do you like to shop on Sunday,4.928571,0,1,1,22
I spilled coffee on the carpet,5.882353,2,2,1,21
the largest of the five oceans,4.477612,2,2,1,21
shall we play a round of cards,5.052632,2,0,0,22
olympic athletes use drugs,4.677966,1,2,0,20
my mother makes good cookies,4.5,1,1,1,22
do a good deed to someone,4.363636,1,2,0,17
quick there is someone knocking,4.764706,0,2,1,25
flashing red light means stop,5.660377,0,0,1,25
sprawling subdivisions are bad,5.0625,2,2,0,23
where did I leave my glasses,4.6,2,0,1,21
on the way to the cottage,3.75,1,1,0,18
a lot of chlorine in the water,5.433962,2,0,0,22
do not drink the water,3.6,0,0,0,18
my car always breaks in the winter,6.588235,1,0,0,27
santa claus got stuck,3.661017,0,1,0,17
public transit is much faster,4.615385,2,2,0,21
zero in on the facts,3.764706,0,0,0,16
make up a few more phrases,4.421053,2,2,1,17
my fingers are very cold,4.285714,2,1,0,17
rain rain go away,2.896552,1,1,0,12
bad for the environment,3.934426,1,1,1,18
universities are too expensive,5.491525,1,2,1,24
the price of gas is high,3.737705,1,1,0,17
the winner of the race,3.176471,1,0,0,17
we drive on parkways,3.290323,0,0,0,17
we park in driveways,3.849057,0,1,0,16
go out for some pizza and beer,4.5,0,1,0,23
effort is what it will take,4.327869,2,1,0,19
