Phrase,Time,INF,IF,F,C
my watch fell in the water,5.361702,1,1,0,19
prevailing wind from the east,7.142857,0,0,1,25
never too rich and never too thin,8.1,0,0,0,27
breathing is difficult,5.0,0,0,1,20
I can see the rings on Saturn,5.207547,1,0,0,22
physics and chemistry are hard,7.609756,0,0,1,26
my bank account is overdrawn,5.142857,0,0,1,24
elections bring out the best,6.697674,1,1,1,22
we are having spaghetti,6.0,1,1,1,18
time to go shopping,4.085106,0,0,0,16
a problem with the engine,4.5,1,1,1,19
elephants are afraid of mice,6.12766,0,1,0,23
my favorite place to visit,4.474576,0,0,0,22
three two one zero blast off,5.87234,0,0,1,23
my favorite subject is psychology,6.0,1,0,1,28
circumstances are unacceptable,5.6,1,0,1,27
watch out for low flying objects,5.785714,0,1,0,26
if at first you do not succeed,5.877551,1,1,0,22
please provide your date of birth,6.222222,1,0,1,27
we run the risk of failure,4.581818,1,0,0,20
prayer in schools offends some,6.117647,1,1,0,24
he is just like everyone else,7.2,1,1,0,22
great disturbance in the force,6.638298,0,0,1,26
love means many things,5.428571,0,0,0,19
you must be getting old,5.428571,0,0,0,19
the world is a stage,4.682927,0,0,0,16
can I skate with sister today,5.433962,0,0,1,24
neither a borrower nor a lender be,7.466667,0,0,1,28
one heck of a question,5.268293,0,0,0,18
question that must be answered,5.571429,1,1,1,24
beware the ides of March,4.897959,0,1,1,19
double double toil and trouble,5.37931,1,1,1,24
the power of denial,3.310345,0,0,0,16
I agree with you,2.943396,0,0,0,13
do not say anything,4.571429,0,0,0,16
play it again Sam,3.36,0,0,0,14
the force is with you,3.578947,0,0,0,17
you are not a jedi yet,3.4,0,0,0,17
an offer you cannot refuse,5.176471,1,0,0,21
are you talking to me,3.517241,0,0,0,17
yes you are very smart,4.32,0,0,0,18
all work and no play,3.555556,0,0,0,16
hair gel is very greasy,3.8,0,0,0,19
Valium in the economy size,6.285714,1,0,1,21
the facts get in the way,4.56,0,0,0,19
the dreamers of dreams,4.301887,0,0,0,19
did you have a good time,4.384615,0,0,0,19
space is a high priority,5.217391,1,1,0,18
you are a wonderful example,6.9,0,0,1,23
do not squander your time,4.421053,1,0,1,20
do not drink too much,3.709091,0,0,0,17
take a coffee break,3.555556,0,0,0,16
popularity is desired by all,4.8,0,0,0,24
the music is better than it sounds,6.857143,1,1,1,26
starlight and dewdrop,3.8,0,0,0,19
the living is easy,4.0,0,0,0,15
fish are jumping,3.574468,0,0,0,14
the cotton is high,3.673469,0,0,0,15
drove my chevy to the levee,4.714286,0,0,0,22
but the levee was dry,3.457627,0,0,0,17
I took the rover from the shop,5.236364,1,1,1,22
movie about a nutty professor,5.084746,1,1,1,23
come and see our new car,4.222222,0,0,0,19
coming up with killer sound bites,8.0,1,0,1,27
I am going to a music lesson,5.5,0,0,1,22
the opposing team is over there,6.117647,0,0,1,26
soon we will return from the city,5.890909,1,0,0,26
I am wearing a tie and a jacket,6.545455,1,1,1,22
the quick brown fox jumped,6.139535,1,1,1,20
all together in one big pile,5.207547,0,1,1,22
wear a crown with many jewels,6.26087,1,0,1,23
there will be some fog tonight,6.122449,0,1,1,24
I am allergic to bees and peanuts,6.230769,1,1,1,25
he is still on our team,4.0,0,0,0,18
the dow jones index has risen,5.877551,1,1,0,22
my preferred treat is chocolate,7.534884,1,1,0,25
the king sends you to the tower,5.357143,0,1,0,24
we are subjects and must obey,5.877551,0,1,0,23
mom made her a turtleneck,4.941176,0,1,0,20
goldilocks and the three bears,7.428571,0,0,1,26
we went grocery shopping,5.142857,1,0,0,20
the assignment is due today,6.571429,1,1,1,21
what you see is what you get,4.8,1,0,1,21
for your information only,4.474576,0,1,0,21
a quarter of a century,4.0,0,0,0,18
the store will close at ten,5.866667,1,1,1,20
head shoulders knees and toes,5.084746,0,1,0,24
vanilla flavored ice cream,6.272727,1,0,0,22
frequently asked questions,5.052632,0,1,1,23
round robin scheduling,4.8,0,0,1,20
information super highway,6.0,1,1,0,21
my favorite web browser,4.528302,0,0,0,20
the laser printer is jammed,4.6,1,1,1,21
all good boys deserve fudge,6.272727,1,0,1,22
the second largest country,5.52,1,0,1,22
call for more details,3.857143,0,0,0,18
just in time for the party,4.846154,1,0,1,20
have a good weekend,3.764706,0,0,0,16
video camera with a zoom lens,5.647059,0,0,0,24
what a monkey sees a monkey will do,8.4,1,1,0,26
that is very unfortunate,4.581818,1,1,0,19
