Phrase,Time,INF,IF,F,C
my watch fell in the water,5.361702,0,0,1,21
prevailing wind from the east,6.521739,1,0,0,24
never too rich and never too thin,6.75,1,0,1,26
breathing is difficult,5.106383,0,1,1,19
I can see the rings on Saturn,6.571429,2,0,0,21
physics and chemistry are hard,6.24,1,0,0,25
my bank account is overdrawn,5.538462,0,1,0,23
elections bring out the best,6.0,0,0,0,24
we are having spaghetti,5.0,1,0,0,19
time to go shopping,3.764706,1,1,0,14
a problem with the engine,5.6,1,2,1,18
elephants are afraid of mice,5.333333,2,0,1,22
my favorite place to visit,5.176471,1,2,0,19
three two one zero blast off,5.018182,2,2,1,19
my favorite subject is psychology,8.7,0,0,1,29
circumstances are unacceptable,8.615385,2,2,0,24
watch out for low flying objects,7.043478,0,1,1,26
if at first you do not succeed,5.236364,1,1,1,22
please provide your date of birth,6.339623,1,2,0,25
we run the risk of failure,5.25,0,1,1,20
prayer in schools offends some,6.638298,1,0,1,25
he is just like everyone else,5.236364,2,0,0,22
great disturbance in the force,7.609756,1,0,1,25
love means many things,5.066667,1,0,0,18
you must be getting old,4.301887,0,0,0,19
the world is a stage,4.465116,0,0,0,16
can I skate with sister today,5.647059,0,2,1,22
neither a borrower nor a lender be,8.615385,1,2,0,25
one heck of a question,4.0,1,1,0,16
question that must be answered,6.782609,0,0,0,26
beware the ides of March,5.454545,0,0,1,20
double double toil and trouble,7.8,0,1,1,25
the power of denial,4.465116,1,0,0,15
I agree with you,2.943396,0,1,0,12
do not say anything,3.555556,0,1,0,15
play it again Sam,3.733333,0,1,0,13
the force is with you,4.163265,1,1,0,15
you are not a jedi yet,5.368421,0,1,0,16
an offer you cannot refuse,5.866667,0,2,0,20
are you talking to me,4.0,1,0,0,16
yes you are very smart,4.0,0,0,0,18
all work and no play,4.8,0,0,0,16
hair gel is very greasy,4.851064,0,0,0,19
Valium in the economy size,5.866667,2,0,0,20
the facts get in the way,4.851064,0,1,0,18
the dreamers of dreams,4.222222,1,1,0,17
did you have a good time,5.302326,0,0,0,19
space is a high priority,5.106383,0,1,1,19
you are a wonderful example,6.133333,1,2,1,20
do not squander your time,5.25,0,1,0,20
do not drink too much,4.434783,0,0,0,17
take a coffee break,4.571429,1,0,0,15
popularity is desired by all,7.2,1,0,1,23
the music is better than it sounds,8.615385,1,2,1,25
starlight and dewdrop,4.653061,1,1,0,17
the living is easy,4.390244,0,0,0,15
fish are jumping,4.097561,0,1,0,13
the cotton is high,4.390244,0,1,0,14
drove my chevy to the levee,4.8,0,2,1,20
but the levee was dry,4.97561,0,0,0,17
I took the rover from the shop,5.538462,2,0,0,22
movie about a nutty professor,6.25,0,2,1,23
come and see our new car,4.653061,0,0,0,19
coming up with killer sound bites,6.461538,2,1,1,25
I am going to a music lesson,5.387755,1,1,0,20
the opposing team is over there,8.0,0,1,1,25
soon we will return from the city,6.230769,0,2,0,25
I am wearing a tie and a jacket,5.647059,1,1,0,22
the quick brown fox jumped,5.73913,0,0,0,22
all together in one big pile,5.52,1,2,1,20
wear a crown with many jewels,7.384615,1,2,0,21
there will be some fog tonight,7.5,0,2,0,23
I am allergic to bees and peanuts,8.1,0,2,1,25
he is still on our team,4.235294,1,1,0,16
the dow jones index has risen,5.538462,0,1,0,23
my preferred treat is chocolate,8.1,0,0,0,27
the king sends you to the tower,5.555556,1,1,0,23
we are subjects and must obey,7.2,0,2,1,22
mom made her a turtleneck,4.754717,0,2,0,19
goldilocks and the three bears,6.638298,0,1,1,25
we went grocery shopping,4.754717,0,2,1,19
the assignment is due today,6.133333,2,0,0,21
what you see is what you get,5.387755,1,1,1,20
for your information only,5.866667,0,0,1,22
a quarter of a century,3.927273,1,0,0,17
the store will close at ten,6.0,2,2,1,18
head shoulders knees and toes,7.142857,2,1,0,22
vanilla flavored ice cream,6.0,2,1,0,20
frequently asked questions,7.02439,1,1,0,22
round robin scheduling,5.581395,1,1,0,18
information super highway,5.52,1,0,1,22
my favorite web browser,6.315789,1,2,1,17
the laser printer is jammed,5.111111,1,0,0,22
all good boys deserve fudge,6.133333,0,0,1,23
the second largest country,6.272727,0,1,1,22
call for more details,4.408163,1,1,0,16
just in time for the party,6.631579,0,0,0,21
have a good weekend,5.052632,1,0,0,15
video camera with a zoom lens,7.2,2,0,1,22
what a monkey sees a monkey will do,7.0,0,2,1,26
that is very unfortunate,4.941176,2,0,1,19
the back yard of our house,5.361702,2,2,1,17
this is a very good idea,4.470588,1,0,0,18
reading week is just about here,8.0,1,0,0,25
our fax number has changed,6.139535,2,0,0,20
thank you for your help,6.0,0,1,0,18
no exchange without a bill,4.8,2,0,0,20
the early bird gets the worm,6.0,2,1,0,20
buckle up for safety,4.744186,0,0,0,17
this is too much to handle,4.666667,0,0,1,21
protect your environment,6.285714,0,2,1,20
world population is growing,5.76,0,1,0,23
the library is closed today,5.632653,2,2,1,19
Mary had a little lamb,4.32,1,0,0,17
teaching services will help,5.877551,2,0,1,22
we accept personal checks,6.0,0,2,1,20
this is a non profit organization,8.0,0,1,0,27
user friendly interface,5.04,0,0,1,21
healthy food is good for you,5.52,0,1,1,22
hands on experience with a job,5.882353,0,1,1,24
this watch is too expensive,5.207547,0,1,1,22
the postal service is very slow,5.886792,2,1,1,23
communicate through email,5.87234,0,0,1,23
the capital of our nation,6.146341,2,2,0,17
travel at the speed of light,6.133333,2,1,1,20
I do not fully agree with you,5.018182,1,1,0,21
gas bills are sent monthly,6.6,2,1,1,19
earth quakes are predictable,6.818182,0,0,1,25
life is but a dream,4.285714,1,0,0,14
take it to the recycling depot,6.0,2,1,1,22
sent this by registered mail,6.0,1,1,0,22
fall is my favorite season,4.888889,1,2,0,19
a fox is a very smart animal,6.439024,0,1,0,21
the kids are very excited,5.04,0,1,1,20
parking lot is full of trucks,7.578947,0,1,0,23
my bike has a flat tire,4.595745,1,0,0,17
do not walk too quickly,4.145455,1,1,0,17
a duck quacks to ask for food,5.75,0,2,0,21
limited warranty of two years,5.769231,1,0,0,24
the four seasons will come,5.28,0,2,1,20
the sun rises in the east,6.315789,0,1,1,19
it is very windy today,4.075472,0,1,0,17
do not worry about this,4.56,1,1,0,17
dashing through the snow,6.631579,1,0,1,20
want to join us for lunch,6.0,1,0,0,19
stay away from strangers,4.941176,1,2,0,18
accompanied by an adult,5.853659,1,0,0,19
see you later alligator,5.853659,1,0,0,19
make my day you sucker,3.927273,0,1,0,17
I can play much better now,4.754717,0,1,0,20
she wears too much makeup,4.754717,2,0,0,19
my bare face in the wind,4.145455,1,0,0,18
batman wears a cape,3.622642,0,0,0,16
I hate baking pies,3.913043,1,1,0,13
lydia wants to go home,4.075472,1,0,0,17
win first prize in the contest,5.454545,1,0,1,24
freud wrote of the ego,5.023256,1,0,0,17
I do not care if you do that,5.04,0,1,0,20
always cover all the bases,4.8,1,2,0,19
nobody cares anymore,5.142857,1,0,0,17
can we play cards tonight,4.581818,2,2,0,17
get rid of that immediately,7.263158,1,0,0,22
I watched blazing saddles,4.981132,2,1,0,19
the sum of the parts,3.84,0,0,0,16
they love to yap about nothing,7.894737,1,2,0,22
peek out the window,3.692308,1,1,0,14
be home before midnight,4.615385,1,1,1,18
he played a pimp in that movie,6.857143,1,0,0,23
I skimmed through your proposal,6.612245,2,1,1,24
he was wearing a sweatshirt,7.076923,1,1,1,21
no more war no more bloodshed,6.697674,0,2,0,22
toss the ball around,5.230769,1,1,0,15
I will meet you at noon,4.8,1,1,0,16
I want to hold your hand,5.560976,0,0,0,19
the children are playing,5.860465,2,2,0,17
superman never wore a mask,6.947368,2,1,0,19
I listen to the tape everyday,6.697674,0,1,0,23
he is shouting loudly,4.595745,0,0,0,18
correct your diction immediately,8.093023,1,2,1,26
seasoned golfers love the game,6.24,0,0,1,26
he cooled off after she left,7.076923,2,0,0,21
my dog sheds his hair,3.849057,1,1,0,15
join us on the patio,4.266667,0,1,0,15
these cookies are so amazing,5.433962,0,1,0,23
I can still feel your presence,6.976744,1,0,1,24
the dog will bite you,5.368421,1,1,0,15
a most ridiculous thing,5.581395,1,0,1,19
where did you get that tie,5.478261,2,1,0,18
what a lovely red jacket,4.363636,0,2,0,18
do you like to shop on Sunday,5.87234,0,0,0,23
I spilled coffee on the carpet,5.882353,0,1,1,24
the largest of the five oceans,7.692308,0,2,1,23
shall we play a round of cards,6.12766,2,0,0,22
olympic athletes use drugs,5.207547,2,0,0,21
my mother makes good cookies,5.433962,1,1,1,22
do a good deed to someone,4.444444,0,2,1,18
quick there is someone knocking,6.48,2,0,1,25
flashing red light means stop,5.882353,0,1,1,24
sprawling subdivisions are bad,6.230769,2,0,1,25
where did I leave my glasses,5.411765,1,0,1,22
on the way to the cottage,5.333333,1,0,0,19
a lot of chlorine in the water,6.857143,2,1,1,21
do not drink the water,4.8,0,1,0,17
my car always breaks in the winter,7.813953,0,2,0,26
santa claus got stuck,5.538462,0,0,0,18
public transit is much faster,5.555556,2,1,0,22
zero in on the facts,4.085106,1,1,0,14
make up a few more phrases,4.846154,2,0,1,19
my fingers are very cold,5.714286,2,2,1,16
rain rain go away,4.097561,0,1,0,13
bad for the environment,4.705882,0,0,0,20
universities are too expensive,7.714286,0,0,1,27
the price of gas is high,4.851064,1,1,0,17
the winner of the race,4.909091,1,0,0,17
we drive on parkways,4.744186,1,0,0,16
we park in driveways,3.849057,1,0,0,16
go out for some pizza and beer,6.26087,2,0,0,22
