Phrase,Time,INF,IF,F,C
my watch fell in the water,8.4,1,0,1,20
prevailing wind from the east,9.090909,1,0,0,24
never too rich and never too thin,10.451613,2,0,1,25
breathing is difficult,6.486486,2,0,1,18
I can see the rings on Saturn,9.517241,2,2,0,19
physics and chemistry are hard,7.8,2,0,0,24
my bank account is overdrawn,6.857143,2,2,1,20
elections bring out the best,9.0,0,2,1,22
we are having spaghetti,7.5,0,2,1,18
time to go shopping,6.62069,1,1,0,14
a problem with the engine,8.689655,0,0,0,21
elephants are afraid of mice,9.6,0,1,1,23
my favorite place to visit,8.516129,0,2,1,20
three two one zero blast off,11.04,0,2,1,21
my favorite subject is psychology,8.285714,1,0,1,28
circumstances are unacceptable,8.615385,1,1,1,26
watch out for low flying objects,10.451613,0,2,1,25
if at first you do not succeed,11.076923,1,1,0,22
please provide your date of birth,12.444444,1,1,1,26
we run the risk of failure,10.08,1,2,0,18
prayer in schools offends some,11.555556,0,0,1,26
he is just like everyone else,10.285714,0,0,0,24
great disturbance in the force,11.142857,0,2,0,24
love means many things,7.125,1,1,0,17
you must be getting old,9.12,1,0,0,18
the world is a stage,6.857143,0,0,0,16
can I skate with sister today,9.0,0,2,1,22
neither a borrower nor a lender be,8.842105,1,2,1,25
one heck of a question,7.2,1,0,0,17
question that must be answered,9.75,1,2,1,23
beware the ides of March,7.058824,2,2,1,16
double double toil and trouble,10.064516,2,2,0,22
the power of denial,7.111111,1,1,0,14
I agree with you,4.727273,1,1,0,11
do not say anything,5.647059,0,0,0,16
play it again Sam,6.0,1,0,0,13
the force is with you,7.555556,1,1,0,15
you are not a jedi yet,5.368421,1,0,0,16
an offer you cannot refuse,6.439024,0,0,1,22
are you talking to me,5.666667,0,1,0,16
yes you are very smart,8.0,1,0,0,17
all work and no play,5.647059,1,0,0,15
hair gel is very greasy,9.12,1,0,0,18
Valium in the economy size,9.777778,1,1,1,20
the facts get in the way,8.444444,0,1,0,18
the dreamers of dreams,7.354839,1,1,0,17
did you have a good time,5.7,1,0,0,18
space is a high priority,8.275862,0,2,0,18
you are a wonderful example,6.9,1,2,1,20
do not squander your time,7.875,1,2,0,18
do not drink too much,4.97561,1,0,0,16
take a coffee break,5.189189,1,1,0,14
popularity is desired by all,7.2,1,1,0,22
the music is better than it sounds,8.615385,2,2,0,24
starlight and dewdrop,7.354839,1,1,0,17
the living is easy,5.0,0,1,0,14
fish are jumping,5.090909,0,0,0,14
the cotton is high,5.625,0,1,0,14
drove my chevy to the levee,8.8,0,0,1,22
but the levee was dry,6.375,0,0,0,17
I took the rover from the shop,10.285714,0,2,1,22
movie about a nutty professor,11.111111,2,0,0,23
come and see our new car,6.705882,1,1,0,17
coming up with killer sound bites,8.842105,2,1,1,25
I am going to a music lesson,9.777778,2,2,1,18
the opposing team is over there,7.609756,1,0,1,25
soon we will return from the city,9.818182,0,2,0,25
I am wearing a tie and a jacket,9.0,1,2,0,21
the quick brown fox jumped,6.285714,2,0,1,20
all together in one big pile,9.517241,2,0,1,21
wear a crown with many jewels,9.931034,0,2,1,22
there will be some fog tonight,10.344828,1,0,0,24
I am allergic to bees and peanuts,9.529412,1,0,0,26
he is still on our team,6.352941,1,1,0,16
the dow jones index has risen,10.666667,1,0,1,23
my preferred treat is chocolate,11.571429,2,0,1,25
the king sends you to the tower,9.677419,0,1,1,24
we are subjects and must obey,10.285714,0,1,1,23
mom made her a turtleneck,8.689655,0,2,0,19
goldilocks and the three bears,10.064516,0,1,0,25
we went grocery shopping,6.3,1,2,1,18
the assignment is due today,7.263158,0,2,0,21
what you see is what you get,7.764706,2,1,1,19
