Phrase,Time,INF,IF,F,C
my watch fell in the water,5.727273,2,1,1,18
prevailing wind from the east,7.5,0,0,0,25
never too rich and never too thin,9.529412,0,0,1,27
breathing is difficult,5.217391,1,2,0,17
I can see the rings on Saturn,6.731707,0,0,1,23
physics and chemistry are hard,6.117647,1,2,0,23
my bank account is overdrawn,5.877551,0,0,0,24
elections bring out the best,6.857143,1,0,1,23
we are having spaghetti,5.217391,2,0,0,18
time to go shopping,4.266667,0,0,0,16
a problem with the engine,5.478261,2,1,0,18
elephants are afraid of mice,6.0,1,2,0,21
my favorite place to visit,6.285714,0,1,1,21
three two one zero blast off,6.418605,0,1,1,22
my favorite subject is psychology,6.96,2,1,1,26
circumstances are unacceptable,8.4,0,1,1,27
watch out for low flying objects,8.307692,1,0,1,26
if at first you do not succeed,8.0,2,1,1,21
please provide your date of birth,9.6,0,2,1,26
we run the risk of failure,5.25,1,0,1,20
prayer in schools offends some,7.8,2,1,1,23
he is just like everyone else,6.4,1,0,0,23
great disturbance in the force,6.117647,0,0,0,26
love means many things,6.333333,1,0,0,18
you must be getting old,5.302326,1,0,0,18
the world is a stage,5.052632,0,1,0,15
can I skate with sister today,8.470588,2,0,0,22
neither a borrower nor a lender be,9.333333,2,2,1,24
one heck of a question,6.352941,0,1,0,17
question that must be answered,7.428571,1,2,0,23
beware the ides of March,7.058824,1,1,0,18
double double toil and trouble,7.428571,2,1,0,23
the power of denial,3.84,0,0,0,16
I agree with you,3.391304,1,0,0,12
do not say anything,4.0,0,1,0,15
play it again Sam,4.421053,0,0,0,14
the force is with you,5.666667,1,0,0,16
you are not a jedi yet,4.533333,1,1,0,15
an offer you cannot refuse,7.542857,2,1,1,19
are you talking to me,4.0,1,1,0,15
yes you are very smart,5.684211,0,1,0,17
all work and no play,3.918367,0,1,0,15
hair gel is very greasy,6.705882,0,1,0,18
Valium in the economy size,6.439024,2,1,0,19
the facts get in the way,4.56,1,1,0,17
the dreamers of dreams,6.705882,1,1,0,17
did you have a good time,6.333333,0,1,0,18
space is a high priority,5.106383,0,1,1,19
you are a wonderful example,5.52,1,1,1,21
do not squander your time,6.810811,2,1,0,18
do not drink too much,4.434783,0,0,0,17
take a coffee break,3.764706,0,0,0,16
popularity is desired by all,6.0,2,1,1,21
the music is better than it sounds,6.588235,1,1,1,26
starlight and dewdrop,6.0,0,0,0,19
the living is easy,3.829787,0,0,0,15
fish are jumping,4.097561,0,0,0,14
the cotton is high,4.615385,1,1,0,13
drove my chevy to the levee,6.0,1,2,0,19
but the levee was dry,5.230769,1,0,0,16
I took the rover from the shop,7.02439,1,2,0,21
movie about a nutty professor,6.976744,0,2,1,23
come and see our new car,4.653061,0,0,0,19
coming up with killer sound bites,6.588235,1,1,0,26
I am going to a music lesson,6.139535,2,0,0,20
the opposing team is over there,8.0,2,0,0,24
soon we will return from the city,6.352941,2,1,0,24
I am wearing a tie and a jacket,5.877551,2,0,1,22
the quick brown fox jumped,6.947368,0,1,0,21
all together in one big pile,7.263158,0,2,0,21
wear a crown with many jewels,6.12766,2,2,0,20
there will be some fog tonight,7.894737,0,0,1,25
I am allergic to bees and peanuts,8.526316,0,1,0,26
he is still on our team,4.5,0,0,0,18
the dow jones index has risen,6.857143,0,0,1,24
my preferred treat is chocolate,8.526316,2,0,1,25
the king sends you to the tower,6.0,2,0,1,23
we are subjects and must obey,7.578947,0,1,0,23
mom made her a turtleneck,6.461538,0,1,0,20
goldilocks and the three bears,7.609756,2,1,1,23
we went grocery shopping,6.3,0,1,1,20
the assignment is due today,5.411765,2,1,0,20
what you see is what you get,5.866667,0,1,0,21
for your information only,5.387755,1,1,1,20
a quarter of a century,4.5,0,1,0,17
the store will close at ten,7.542857,2,1,0,19
head shoulders knees and toes,8.108108,2,2,0,21
vanilla flavored ice cream,7.666667,2,2,0,19
frequently asked questions,6.0,2,2,1,20
round robin scheduling,6.486486,2,1,1,17
information super highway,7.263158,2,1,1,20
my favorite web browser,6.153846,0,2,0,18
the laser printer is jammed,7.885714,2,0,1,21
all good boys deserve fudge,8.117647,0,2,1,21
the second largest country,8.117647,1,0,1,22
call for more details,4.8,1,1,0,16
just in time for the party,6.0,2,2,1,17
have a good weekend,5.485714,1,0,0,15
video camera with a zoom lens,6.26087,0,2,0,22
what a monkey sees a monkey will do,8.615385,2,1,1,25
that is very unfortunate,5.6,0,2,0,19
the back yard of our house,5.25,1,0,0,20
this is a very good idea,4.653061,0,1,0,18
reading week is just about here,6.638298,1,2,1,23
our fax number has changed,7.542857,2,0,1,20
thank you for your help,5.428571,0,0,0,19
no exchange without a bill,5.176471,2,1,0,19
the early bird gets the worm,6.731707,2,2,0,19
buckle up for safety,4.97561,0,1,0,16
this is too much to handle,5.478261,2,0,0,19
protect your environment,5.5,2,0,0,20
world population is growing,6.857143,0,0,1,24
the library is closed today,8.117647,0,2,0,21
Mary had a little lamb,6.352941,0,1,0,17
teaching services will help,7.578947,0,0,1,24
we accept personal checks,5.617021,1,0,1,21
this is a non profit organization,9.882353,0,2,1,26
user friendly interface,7.0,1,2,0,18
healthy food is good for you,6.571429,0,0,1,23
hands on experience with a job,8.823529,0,1,0,24
this watch is too expensive,5.632653,1,0,1,22
the postal service is very slow,9.176471,1,1,1,24
communicate through email,6.9,2,0,1,21
the capital of our nation,7.0,1,0,1,20
travel at the speed of light,6.133333,2,0,0,21
I do not fully agree with you,6.418605,2,1,0,20
gas bills are sent monthly,6.139535,0,1,0,21
earth quakes are predictable,6.818182,2,0,1,23
life is but a dream,5.142857,0,1,0,14
take it to the recycling depot,6.521739,2,1,0,22
sent this by registered mail,6.4,1,2,1,21
fall is my favorite season,5.176471,2,2,0,18
a fox is a very smart animal,6.0,1,1,1,20
the kids are very excited,6.631579,0,0,1,21
parking lot is full of trucks,6.545455,2,1,1,21
my bike has a flat tire,4.8,1,0,0,17
do not walk too quickly,4.75,1,1,0,17
a duck quacks to ask for food,6.9,0,0,0,23
limited warranty of two years,6.521739,2,2,0,21
the four seasons will come,7.333333,2,2,1,18
the sun rises in the east,5.581395,1,2,1,17
it is very windy today,4.235294,0,1,0,17
do not worry about this,4.956522,1,1,0,17
dashing through the snow,5.361702,0,2,0,19
want to join us for lunch,5.333333,2,1,1,17
stay away from strangers,7.0,2,2,1,17
accompanied by an adult,4.705882,2,1,0,17
see you later alligator,5.106383,1,0,0,19
make my day you sucker,5.4,0,1,0,17
I can play much better now,7.411765,1,0,1,20
she wears too much makeup,6.461538,0,2,1,19
my bare face in the wind,5.302326,0,1,0,18
batman wears a cape,4.363636,1,0,0,15
I hate baking pies,4.736842,0,0,0,15
lydia wants to go home,4.32,1,1,0,16
win first prize in the contest,6.976744,2,1,0,22
freud wrote of the ego,6.352941,0,0,0,18
I do not care if you do that,5.04,0,0,1,21
always cover all the bases,5.73913,2,0,1,20
nobody cares anymore,5.4,1,1,0,16
can we play cards tonight,6.810811,0,2,0,19
get rid of that immediately,5.87234,0,2,1,21
I watched blazing saddles,5.387755,2,2,0,18
the sum of the parts,3.84,1,0,0,15
they love to yap about nothing,6.25,2,1,0,22
peek out the window,5.189189,0,1,0,15
be home before midnight,6.486486,2,2,1,16
he played a pimp in that movie,5.877551,1,0,1,23
I skimmed through your proposal,6.75,1,0,1,26
he was wearing a sweatshirt,5.75,1,2,0,20
no more war no more bloodshed,6.4,1,1,0,22
toss the ball around,5.368421,0,0,0,17
I will meet you at noon,5.142857,1,0,0,17
I want to hold your hand,6.705882,0,1,0,18
the children are playing,5.727273,1,0,1,20
superman never wore a mask,6.947368,2,1,0,19
I listen to the tape everyday,6.0,0,2,0,22
he is shouting loudly,4.8,1,1,0,16
correct your diction immediately,9.942857,1,1,0,27
seasoned golfers love the game,7.428571,2,0,0,24
he cooled off after she left,6.133333,1,2,1,20
my dog sheds his hair,5.230769,1,1,0,15
join us on the patio,4.085106,0,1,0,15
these cookies are so amazing,7.783784,1,2,1,21
I can still feel your presence,6.25,2,1,0,22
the dog will bite you,4.857143,0,1,0,16
a most ridiculous thing,4.705882,1,1,1,18
where did you get that tie,6.631579,0,0,0,21
what a lovely red jacket,5.581395,0,2,0,18
do you like to shop on Sunday,5.411765,0,1,1,22
I spilled coffee on the carpet,8.823529,0,0,1,25
the largest of the five oceans,7.5,1,2,1,22
shall we play a round of cards,7.2,0,1,1,23
olympic athletes use drugs,7.263158,0,0,0,23
my mother makes good cookies,6.26087,0,1,1,23
do a good deed to someone,6.666667,1,1,0,18
quick there is someone knocking,6.75,2,0,0,25
flashing red light means stop,6.382979,0,1,0,24
sprawling subdivisions are bad,9.257143,0,0,1,27
where did I leave my glasses,6.571429,1,1,1,21
on the way to the cottage,5.106383,2,0,1,18
a lot of chlorine in the water,6.545455,0,2,0,22
do not drink the water,6.0,1,0,0,17
my car always breaks in the winter,9.081081,1,2,1,25
santa claus got stuck,5.142857,1,1,0,16
public transit is much faster,7.142857,0,1,0,24
zero in on the facts,3.84,0,0,0,16
make up a few more phrases,5.25,2,1,1,18
my fingers are very cold,4.8,2,0,1,18
rain rain go away,4.666667,0,1,0,13
bad for the environment,6.315789,0,2,1,18
universities are too expensive,6.352941,1,2,1,24
the price of gas is high,6.333333,0,0,0,19
the winner of the race,4.5,0,1,0,17
we drive on parkways,4.25,1,0,0,16
we park in driveways,4.97561,1,0,0,16
go out for some pizza and beer,6.697674,0,2,0,22
effort is what it will take,6.6,2,2,0,18
where can my little dog be,6.146341,2,1,1,18
if you were not so stupid,7.058824,0,1,0,19
not quite so smart as you think,7.692308,1,1,0,23
do you like to go camping,6.857143,1,2,0,17
this person is a disaster,5.361702,2,2,1,17
the imagination of the nation,5.882353,1,1,0,23
universally understood to be wrong,7.2,1,3,0,26
listen to five hours of opera,6.4,1,0,1,23
an occasional taste of chocolate,9.333333,1,1,1,26
victims deserve more redress,7.317073,1,2,0,22
the protesters blocked all traffic,8.181818,2,3,0,25
the acceptance speech was boring,8.615385,0,1,1,27
work hard to reach the summit,6.26087,1,2,0,21
a little encouragement is needed,6.857143,1,1,0,26
stiff penalty for staying out late,8.093023,0,2,1,27
the pen is mightier than the sword,8.615385,2,2,1,24
exceed the maximum speed limit,6.5,2,1,0,23
in sharp contrast to your words,7.8,1,2,0,23
this leather jacket is too warm,6.367347,1,1,0,24
consequences of a wrong turn,8.0,0,0,0,24
this mission statement is baloney,8.923077,1,2,0,26
you will loose your voice,6.461538,0,0,0,21
every apple from every tree,8.117647,1,1,0,21
are you sure you want this,7.411765,1,0,1,20
the fourth edition was better,6.666667,2,1,0,22
this system of taxation,6.0,1,0,1,19
beautiful paintings in the gallery,7.659574,0,1,0,29
a yard is almost as long as a meter,6.352941,1,1,0,25
we missed your birthday,6.0,1,0,0,19
coalition governments never work,7.909091,1,0,1,28
destruction of the rain forest,6.24,2,0,0,24
I like to play tennis,4.533333,0,0,0,17
acutely aware of her good looks,8.666667,1,0,0,25
you want to eat your cake,5.0,2,1,0,17
machinery is too complicated,6.521739,2,0,0,23
a glance in the right direction,7.609756,2,2,0,22
I just cannot figure this out,8.0,0,2,1,22
please follow the guidelines,7.142857,1,1,1,23
an airport is a very busy place,6.382979,0,1,0,24
mystery of the lost lagoon,5.617021,0,1,1,21
is there any indication of this,8.666667,2,2,0,22
the chamber makes important decisions,8.608696,1,0,0,32
this phenomenon will never occur,9.081081,2,1,1,25
obligations must be met first,5.882353,0,1,1,24
valid until the end of the year,6.122449,1,0,1,24
file all complaints in writing,8.210526,0,2,1,24
tickets are very expensive,6.0,0,2,0,21
a picture is worth many words,8.470588,2,0,0,22
this camera takes nice photographs,8.181818,3,2,0,25
it looks like a shack,5.1,1,0,0,16
the dog buried the bone,5.066667,0,0,0,19
the daring young man,4.636364,1,1,0,15
this equation is too complicated,7.636364,0,1,0,27
express delivery is very fast,6.818182,2,2,0,21
I will put on my glasses,6.333333,0,1,0,18
a touchdown in the last minute,5.882353,0,0,1,25
the treasury department is broke,8.842105,0,0,1,28
a good response to the question,8.666667,0,0,1,26
well connected with people,5.75,0,2,1,21
the bathroom is good for reading,7.043478,2,0,1,25
the generation gap gets wider,6.976744,1,2,0,22
chemical spill took forever,6.12766,2,1,0,21
prepare for the exam in advance,6.638298,1,2,1,23
interesting observation was made,6.823529,2,2,0,25
bank transaction was not registered,9.073171,1,0,0,30
your etiquette needs some work,6.782609,0,2,1,24
we better investigate this,6.9,0,2,0,21
stability of the nation,5.454545,1,1,1,18
house with new electrical panel,7.902439,0,1,0,26
our silver anniversary is coming,8.4,2,0,1,26
the presidential suite is very busy,9.473684,0,3,1,27
the punishment should fit the crime,9.473684,3,0,1,27
sharp cheese keeps the mind sharp,7.148936,2,1,0,25
the registration period is over,9.529412,1,2,0,24
you have my sympathy,5.368421,0,1,0,16
the objective of the exercise,8.571429,1,0,1,24
historic meeting without a result,7.404255,2,2,1,25
very reluctant to enter,6.857143,0,2,1,18
good at addition and subtraction,7.304348,0,0,0,28
six daughters and seven sons,5.76,2,0,0,22
a thoroughly disgusting thing to say,7.44,3,1,0,27
sign the withdrawal slip,6.0,2,0,0,19
relations are very strained,8.228571,0,1,0,23
the minimum amount of time,6.769231,1,0,1,21
a very traditional way to dress,6.933333,0,1,1,25
the aspirations of a nation,8.117647,1,1,0,21
medieval times were very hard,7.692308,1,1,0,23
a security force of eight thousand,7.25,1,1,0,27
there are winners and losers,7.02439,1,0,1,23
the voters turfed him out,6.0,1,1,0,19
pay off a mortgage for a house,6.4,1,0,0,23
the collapse of the Roman empire,7.043478,0,1,1,26
did you see that spectacular explosion,9.9,1,1,0,31
keep receipts for all your expenses,7.346939,2,2,1,26
the assault took six months,7.459459,1,1,0,21
get your priorities in order,5.76,0,1,0,23
traveling requires a lot of fuel,7.902439,1,2,1,24
longer than a football field,5.647059,0,2,1,22
a good joke deserves a good laugh,8.1,0,2,0,25
the union will go on strike,5.176471,2,1,0,19
never mix religion and politics,7.902439,0,0,1,27
interactions between men and women,7.659574,2,3,0,25
where did you get such a silly idea,8.195122,2,1,1,25
it should be sunny tomorrow,5.87234,2,1,0,20
a psychiatrist will help you,6.4,2,0,0,22
you should visit to a doctor,5.87234,0,1,0,22
