Phrase,Time,INF,IF,F,C
my watch fell in the water,6.810811,2,0,1,19
prevailing wind from the east,9.090909,0,2,0,23
never too rich and never too thin,12.461538,1,2,1,24
breathing is difficult,8.571429,2,0,1,18
I can see the rings on Saturn,8.117647,1,2,1,20
physics and chemistry are hard,9.176471,0,1,0,25
my bank account is overdrawn,9.931034,2,1,1,21
elections bring out the best,7.783784,1,1,1,22
we are having spaghetti,6.486486,2,2,1,16
time to go shopping,6.193548,0,0,0,16
a problem with the engine,7.0,2,1,1,18
elephants are afraid of mice,9.6,2,0,1,22
my favorite place to visit,9.103448,1,0,0,21
three two one zero blast off,10.222222,0,0,1,23
my favorite subject is psychology,12.0,0,2,0,27
circumstances are unacceptable,9.6,0,0,0,28
watch out for low flying objects,9.818182,1,0,0,26
if at first you do not succeed,8.727273,2,2,0,20
please provide your date of birth,8.842105,1,2,1,25
we run the risk of failure,6.810811,2,0,1,19
prayer in schools offends some,11.555556,1,0,1,25
he is just like everyone else,9.6,0,2,1,22
great disturbance in the force,8.914286,0,1,0,25
love means many things,6.162162,0,1,0,18
you must be getting old,6.162162,0,0,0,19
the world is a stage,6.193548,1,0,0,15
can I skate with sister today,9.931034,1,1,1,22
neither a borrower nor a lender be,12.923077,2,2,1,24
one heck of a question,8.307692,0,1,0,17
question that must be answered,10.064516,1,2,0,23
beware the ides of March,9.6,1,0,1,19
double double toil and trouble,11.142857,2,0,1,24
the power of denial,6.193548,1,1,0,14
I agree with you,4.457143,1,1,0,11
do not say anything,7.68,1,0,0,15
play it again Sam,6.222222,1,0,0,13
the force is with you,6.580645,0,0,0,17
you are not a jedi yet,6.375,0,0,0,17
an offer you cannot refuse,8.516129,2,0,1,20
are you talking to me,8.16,1,1,0,15
yes you are very smart,6.0,0,0,0,18
all work and no play,5.485714,0,1,0,15
hair gel is very greasy,6.705882,0,1,0,18
Valium in the economy size,9.777778,1,0,0,21
the facts get in the way,7.125,0,0,0,19
the dreamers of dreams,6.705882,0,1,0,18
did you have a good time,8.142857,1,0,0,18
space is a high priority,7.741935,1,2,1,17
you are a wonderful example,7.885714,2,0,1,21
do not squander your time,8.689655,0,0,0,21
do not drink too much,5.368421,1,0,0,16
take a coffee break,5.052632,1,0,0,15
popularity is desired by all,8.727273,1,2,1,21
the music is better than it sounds,8.842105,2,1,1,25
starlight and dewdrop,6.162162,1,0,0,18
the living is easy,6.923077,0,0,0,15
fish are jumping,4.666667,1,1,0,12
the cotton is high,5.625,1,1,0,13
drove my chevy to the levee,10.153846,2,1,1,19
but the levee was dry,6.580645,0,1,0,16
I took the rover from the shop,9.0,1,0,0,23
movie about a nutty professor,12.0,2,1,0,22
come and see our new car,7.862069,0,1,0,18
coming up with killer sound bites,10.5,0,1,1,27
I am going to a music lesson,9.777778,1,1,0,20
the opposing team is over there,10.758621,0,0,1,26
soon we will return from the city,12.0,1,2,1,24
I am wearing a tie and a jacket,11.076923,0,0,1,24
the quick brown fox jumped,10.153846,2,2,0,18
all together in one big pile,10.615385,2,0,0,21
wear a crown with many jewels,11.52,2,1,0,21
there will be some fog tonight,11.538462,2,1,0,22
I am allergic to bees and peanuts,9.257143,1,2,0,24
he is still on our team,7.2,1,1,0,16
the dow jones index has risen,8.470588,2,0,1,22
my preferred treat is chocolate,12.0,2,0,1,25
the king sends you to the tower,9.090909,2,0,1,23
we are subjects and must obey,11.076923,1,2,0,21
mom made her a turtleneck,8.689655,2,2,1,17
goldilocks and the three bears,8.432432,1,0,1,25
