Phrase,Time,INF,IF,F,C
my watch fell in the water,12.0,1,2,0,18
prevailing wind from the east,13.043478,2,2,0,21
never too rich and never too thin,19.058824,1,1,1,25
breathing is difficult,20.0,1,1,1,18
I can see the rings on Saturn,16.235294,0,2,0,21
physics and chemistry are hard,15.6,2,2,1,22
my bank account is overdrawn,15.157895,0,1,0,23
elections bring out the best,18.0,2,1,1,21
we are having spaghetti,12.0,0,0,1,20
time to go shopping,10.666667,0,1,0,15
a problem with the engine,19.384615,0,1,0,20
elephants are afraid of mice,16.941176,0,2,0,22
my favorite place to visit,12.571429,1,0,0,21
three two one zero blast off,23.0,0,0,1,23
my favorite subject is psychology,16.571429,0,0,0,29
circumstances are unacceptable,14.608696,2,2,0,24
watch out for low flying objects,15.428571,2,1,0,24
if at first you do not succeed,16.0,2,0,0,22
please provide your date of birth,18.666667,1,0,0,27
we run the risk of failure,18.0,0,0,0,21
prayer in schools offends some,16.421053,0,0,0,26
he is just like everyone else,13.090909,0,2,1,22
great disturbance in the force,26.0,2,0,1,24
love means many things,9.5,1,1,0,17
you must be getting old,9.5,0,1,0,18
the world is a stage,9.142857,1,1,0,14
can I skate with sister today,11.52,2,1,1,21
neither a borrower nor a lender be,15.272727,0,0,0,28
one heck of a question,14.4,1,0,0,17
question that must be answered,13.0,2,2,0,22
beware the ides of March,12.631579,2,1,1,17
double double toil and trouble,14.181818,2,1,0,23
the power of denial,12.8,0,1,0,15
I agree with you,13.0,0,1,0,12
do not say anything,8.727273,0,1,0,15
play it again Sam,14.0,1,0,0,13
the force is with you,8.5,1,0,0,16
you are not a jedi yet,17.0,0,1,0,16
an offer you cannot refuse,13.2,0,2,0,20
are you talking to me,10.736842,0,1,0,16
yes you are very smart,9.0,0,1,0,17
all work and no play,12.0,1,0,0,15
hair gel is very greasy,15.2,0,1,0,18
Valium in the economy size,11.0,1,1,0,20
the facts get in the way,9.913043,1,1,0,17
the dreamers of dreams,14.25,0,0,0,19
did you have a good time,10.857143,0,1,0,18
space is a high priority,16.0,0,0,1,20
you are a wonderful example,16.235294,2,2,1,19
do not squander your time,21.0,2,2,1,17
do not drink too much,12.75,0,1,0,16
take a coffee break,8.727273,0,0,0,16
popularity is desired by all,24.0,2,1,1,21
the music is better than it sounds,17.684211,1,2,0,25
starlight and dewdrop,17.538462,1,1,0,17
the living is easy,12.0,1,0,0,14
fish are jumping,10.5,1,1,0,12
the cotton is high,12.857143,0,0,0,15
drove my chevy to the levee,15.529412,1,0,0,21
but the levee was dry,9.714286,0,1,0,16
I took the rover from the shop,15.157895,2,2,0,20
movie about a nutty professor,21.428571,1,2,1,22
come and see our new car,10.363636,1,0,0,18
coming up with killer sound bites,15.272727,1,0,1,27
I am going to a music lesson,15.529412,1,2,1,19
the opposing team is over there,16.421053,2,1,1,23
soon we will return from the city,20.25,1,2,0,24
I am wearing a tie and a jacket,14.4,1,0,0,23
the quick brown fox jumped,22.0,2,2,0,18
all together in one big pile,12.545455,0,1,0,22
wear a crown with many jewels,13.714286,0,2,1,22
there will be some fog tonight,17.647059,0,2,0,23
I am allergic to bees and peanuts,17.052632,0,1,0,26
he is still on our team,14.4,0,1,0,17
the dow jones index has risen,16.0,0,1,1,23
my preferred treat is chocolate,20.25,1,0,0,26
the king sends you to the tower,12.5,1,0,1,24
we are subjects and must obey,20.571429,1,2,1,21
mom made her a turtleneck,15.75,2,1,1,18
goldilocks and the three bears,22.285714,2,2,0,22
we went grocery shopping,11.454545,0,1,0,20
the assignment is due today,11.04,2,0,0,21
what you see is what you get,15.529412,2,0,1,20
for your information only,14.666667,2,2,1,18
a quarter of a century,8.64,0,1,0,17
the store will close at ten,17.6,0,2,0,20
head shoulders knees and toes,20.0,0,0,0,25
vanilla flavored ice cream,16.235294,2,0,1,21
frequently asked questions,13.090909,0,0,0,24
round robin scheduling,18.461538,2,1,1,17
information super highway,21.230769,0,0,1,23
my favorite web browser,10.0,1,0,0,19
the laser printer is jammed,17.25,1,0,1,22
all good boys deserve fudge,21.230769,1,0,0,22
the second largest country,12.0,1,0,0,22
call for more details,14.4,1,0,0,17
just in time for the party,18.0,0,1,0,20
have a good weekend,13.714286,1,0,0,15
video camera with a zoom lens,14.4,0,1,0,23
what a monkey sees a monkey will do,17.684211,1,0,0,27
that is very unfortunate,12.0,1,2,0,18
the back yard of our house,12.0,0,2,0,19
this is a very good idea,12.0,1,0,0,18
reading week is just about here,13.0,0,0,1,26
our fax number has changed,14.666667,0,2,0,20
thank you for your help,9.5,1,1,0,17
no exchange without a bill,16.5,0,1,0,21
the early bird gets the worm,16.235294,2,0,0,21
buckle up for safety,17.0,1,0,0,16
this is too much to handle,18.0,1,1,0,19
protect your environment,12.0,0,0,0,22
world population is growing,19.2,2,1,1,21
the library is closed today,12.0,1,1,0,21
Mary had a little lamb,18.0,1,1,0,16
teaching services will help,18.0,0,0,0,24
we accept personal checks,15.529412,0,0,1,22
this is a non profit organization,16.8,0,1,1,27
user friendly interface,11.454545,0,1,1,20
healthy food is good for you,14.526316,2,0,1,21
hands on experience with a job,13.636364,1,1,0,23
this watch is too expensive,19.714286,2,1,1,20
the postal service is very slow,15.6,2,0,0,24
communicate through email,13.142857,2,1,0,20
the capital of our nation,19.384615,2,0,0,19
travel at the speed of light,12.545455,0,0,0,23
I do not fully agree with you,23.0,1,1,1,21
gas bills are sent monthly,15.529412,0,1,1,21
earth quakes are predictable,17.647059,0,0,1,25
life is but a dream,7.2,0,0,0,15
take it to the recycling depot,21.428571,2,2,1,21
sent this by registered mail,13.714286,2,1,0,21
fall is my favorite season,20.307692,1,0,0,21
a fox is a very smart animal,17.6,1,2,1,19
the kids are very excited,10.5,2,2,1,17
parking lot is full of trucks,14.4,0,0,1,24
my bike has a flat tire,11.368421,1,0,0,17
do not walk too quickly,11.4,1,0,0,18
a duck quacks to ask for food,16.235294,2,0,1,21
limited warranty of two years,13.636364,0,2,1,23
the four seasons will come,13.2,0,0,1,22
the sun rises in the east,10.0,1,0,1,19
it is very windy today,8.64,1,0,0,17
do not worry about this,17.538462,0,1,0,18
dashing through the snow,14.823529,0,2,1,19
want to join us for lunch,13.333333,0,0,0,20
stay away from strangers,18.0,0,0,0,21
accompanied by an adult,9.6,1,2,0,17
see you later alligator,10.0,0,1,1,19
make my day you sucker,18.0,0,1,0,17
I can play much better now,11.454545,0,1,0,20
she wears too much makeup,14.823529,0,1,1,20
my bare face in the wind,15.2,0,1,0,18
batman wears a cape,8.0,1,1,0,14
I hate baking pies,9.473684,0,0,0,15
lydia wants to go home,9.818182,0,1,0,17
win first prize in the contest,15.0,2,0,1,23
freud wrote of the ego,11.368421,0,0,0,18
I do not care if you do that,14.0,0,2,1,19
always cover all the bases,17.6,2,0,0,20
nobody cares anymore,13.5,0,0,0,18
can we play cards tonight,18.0,1,1,0,19
get rid of that immediately,15.333333,0,2,0,21
I watched blazing saddles,20.307692,2,0,0,20
the sum of the parts,13.714286,1,1,0,14
they love to yap about nothing,14.285714,1,0,0,24
peek out the window,16.0,0,0,0,16
be home before midnight,18.461538,0,0,0,20
he played a pimp in that movie,16.0,0,2,1,22
I skimmed through your proposal,14.727273,1,0,1,26
he was wearing a sweatshirt,11.04,0,2,1,21
no more war no more bloodshed,15.157895,0,1,1,23
toss the ball around,13.6,0,1,0,16
I will meet you at noon,10.8,1,1,0,16
I want to hold your hand,12.666667,0,1,0,18
the children are playing,10.956522,0,0,1,21
superman never wore a mask,12.0,1,0,0,21
I listen to the tape everyday,18.0,0,2,0,22
he is shouting loudly,16.615385,1,1,0,16
correct your diction immediately,17.4,1,1,1,27
seasoned golfers love the game,20.8,0,1,0,25
he cooled off after she left,13.8,0,2,1,21
my dog sheds his hair,11.333333,1,0,0,16
join us on the patio,7.68,0,0,0,16
these cookies are so amazing,16.0,2,1,1,21
I can still feel your presence,23.076923,0,1,0,24
the dog will bite you,12.75,0,0,0,17
a most ridiculous thing,16.0,1,1,0,18
where did you get that tie,10.5,0,0,1,21
what a lovely red jacket,13.333333,1,2,0,17
do you like to shop on Sunday,13.142857,1,2,1,20
I spilled coffee on the carpet,13.043478,0,2,1,23
the largest of the five oceans,15.789474,0,2,1,23
shall we play a round of cards,14.4,1,0,0,23
olympic athletes use drugs,17.25,1,2,0,20
my mother makes good cookies,13.714286,2,0,1,22
do a good deed to someone,12.631579,2,0,0,18
quick there is someone knocking,23.142857,1,2,0,24
flashing red light means stop,16.666667,2,0,1,23
sprawling subdivisions are bad,16.2,0,1,0,26
where did I leave my glasses,11.5,2,2,0,19
on the way to the cottage,14.117647,2,1,0,17
a lot of chlorine in the water,18.0,0,0,1,24
do not drink the water,8.64,0,1,0,17
my car always breaks in the winter,13.44,2,1,1,25
santa claus got stuck,14.4,1,0,0,17
public transit is much faster,13.043478,0,1,1,24
zero in on the facts,10.105263,0,0,0,16
make up a few more phrases,12.0,0,0,0,21
my fingers are very cold,12.0,1,0,0,19
rain rain go away,8.842105,1,0,0,13
bad for the environment,15.0,0,0,0,20
universities are too expensive,19.058824,1,1,0,25
the price of gas is high,16.285714,1,0,0,18
the winner of the race,18.0,0,1,0,17
we drive on parkways,17.0,0,1,0,16
we park in driveways,12.75,0,0,0,17
go out for some pizza and beer,11.52,1,1,1,22
effort is what it will take,13.894737,2,2,1,18
where can my little dog be,13.263158,0,2,0,19
if you were not so stupid,10.0,0,0,1,20
not quite so smart as you think,25.0,1,0,1,24
do you like to go camping,12.0,1,2,0,17
this person is a disaster,11.454545,2,1,1,18
the imagination of the nation,20.0,0,1,1,24
universally understood to be wrong,30.0,1,2,0,27
listen to five hours of opera,20.571429,1,2,0,21
an occasional taste of chocolate,16.0,1,0,1,27
victims deserve more redress,15.789474,1,2,1,22
the protesters blocked all traffic,16.363636,1,1,1,28
the acceptance speech was boring,24.0,1,2,1,25
work hard to reach the summit,22.153846,1,2,1,21
a little encouragement is needed,25.846154,1,1,0,26
stiff penalty for staying out late,14.5,1,0,0,28
the pen is mightier than the sword,16.8,0,1,1,27
exceed the maximum speed limit,20.8,0,0,0,26
in sharp contrast to your words,16.421053,0,2,1,24
this leather jacket is too warm,16.421053,1,2,1,23
consequences of a wrong turn,22.153846,2,2,1,20
this mission statement is baloney,20.470588,0,0,1,29
you will loose your voice,12.0,0,0,1,21
every apple from every tree,17.25,0,0,1,23
are you sure you want this,16.8,2,2,1,17
the fourth edition was better,17.647059,0,2,1,23
this system of taxation,17.142857,0,0,0,20
beautiful paintings in the gallery,21.176471,3,3,0,24
a yard is almost as long as a meter,18.0,0,0,0,27
we missed your birthday,12.631579,2,2,0,16
coalition governments never work,21.75,2,1,0,26
destruction of the rain forest,13.565217,2,1,1,23
I like to play tennis,8.5,0,0,0,17
acutely aware of her good looks,17.333333,2,2,1,22
you want to eat your cake,15.0,2,1,0,17
machinery is too complicated,21.428571,0,1,0,24
a glance in the right direction,15.6,1,1,0,24
I just cannot figure this out,16.941176,2,1,1,21
please follow the guidelines,25.0,1,2,0,22
an airport is a very busy place,16.666667,0,1,1,24
mystery of the lost lagoon,14.666667,2,1,1,19
is there any indication of this,12.48,2,1,1,23
the chamber makes important decisions,16.5,1,0,0,32
this phenomenon will never occur,17.684211,2,0,1,26
obligations must be met first,23.076923,0,0,1,25
valid until the end of the year,25.0,0,2,0,23
file all complaints in writing,22.285714,0,1,1,25
tickets are very expensive,12.545455,2,0,1,21
a picture is worth many words,15.157895,1,1,0,22
this camera takes nice photographs,16.363636,2,1,0,27
it looks like a shack,10.2,0,0,0,17
the dog buried the bone,10.857143,0,0,0,19
the daring young man,10.736842,1,1,0,15
this equation is too complicated,24.0,2,1,0,25
express delivery is very fast,21.428571,1,1,0,23
I will put on my glasses,11.4,1,1,0,17
a touchdown in the last minute,20.0,1,2,0,22
the treasury department is broke,18.666667,1,1,0,26
a good response to the question,14.857143,0,0,1,26
well connected with people,17.25,0,0,1,23
the bathroom is good for reading,21.6,1,2,0,24
the generation gap gets wider,16.666667,0,1,1,24
chemical spill took forever,12.0,0,0,1,24
prepare for the exam in advance,17.333333,0,2,0,24
interesting observation was made,19.333333,2,2,1,25
bank transaction was not registered,31.0,2,3,1,26
your etiquette needs some work,13.565217,1,2,1,23
we better investigate this,19.714286,0,1,1,22
stability of the nation,20.0,2,1,0,17
house with new electrical panel,20.25,0,1,0,26
our silver anniversary is coming,18.666667,1,0,1,27
the presidential suite is very busy,30.0,2,2,0,26
the punishment should fit the crime,17.142857,0,1,0,29
sharp cheese keeps the mind sharp,28.0,0,0,0,28
the registration period is over,24.923077,2,0,0,25
you have my sympathy,10.2,0,1,0,16
the objective of the exercise,13.636364,1,1,0,23
historic meeting without a result,15.130435,0,1,0,28
very reluctant to enter,10.0,2,0,0,18
good at addition and subtraction,14.608696,0,2,1,26
six daughters and seven sons,16.941176,2,1,0,21
a thoroughly disgusting thing to say,15.5,1,0,0,30
sign the withdrawal slip,10.5,1,2,1,18
relations are very strained,13.714286,2,0,0,22
the minimum amount of time,10.56,2,2,0,18
a very traditional way to dress,14.857143,2,2,0,22
the aspirations of a nation,23.0,1,0,1,22
medieval times were very hard,23.076923,1,1,1,23
a security force of eight thousand,19.333333,1,2,1,26
there are winners and losers,14.4,1,0,1,23
the voters turfed him out,12.6,0,2,0,19
pay off a mortgage for a house,12.521739,2,2,1,20
the collapse of the Roman empire,13.5,1,2,0,24
did you see that spectacular explosion,19.8,2,3,0,28
keep receipts for all your expenses,15.0,3,3,0,24
the assault took six months,12.545455,1,2,0,20
get your priorities in order,20.571429,1,2,1,21
traveling requires a lot of fuel,23.142857,2,1,1,24
longer than a football field,24.0,0,1,0,23
a good joke deserves a good laugh,13.5,2,0,0,25
the union will go on strike,12.571429,0,0,0,22
never mix religion and politics,15.428571,2,0,0,25
interactions between men and women,30.0,0,0,0,30
where did you get such a silly idea,14.608696,2,1,1,25
it should be sunny tomorrow,19.714286,0,0,1,23
a psychiatrist will help you,22.153846,2,0,0,22
you should visit to a doctor,23.0,2,1,1,20
you must make an appointment,20.571429,0,0,0,24
the fax machine is broken,15.75,0,1,1,20
players must know all the rules,18.352941,1,0,0,25
a dog is the best friend of a man,15.789474,0,0,1,25
would you like to come to my house,14.086957,0,1,0,26
February has an extra day,21.0,2,1,0,18
do not feel too bad about it,17.6,2,2,0,18
this library has many books,19.714286,1,1,0,21
construction makes traveling difficult,22.105263,3,0,1,32
he called seven times,11.368421,0,1,0,17
that is a very odd question,15.529412,0,0,1,22
a feeling of complete exasperation,30.0,0,0,0,30
we must redouble our efforts,16.0,0,0,0,24
no kissing in the library,12.0,0,1,1,20
that agreement is rife with problems,21.882353,1,1,0,29
vote according to your conscience,15.818182,0,2,1,27
my favourite sport is racketball,21.0,2,0,0,26
sad to hear that news,8.16,1,0,0,16
the gun discharged by accident,14.857143,1,2,0,23
one of the poorest nations,17.6,2,0,0,20
the algorithm is too complicated,16.8,2,2,1,24
your presentation was inspiring,28.0,0,1,1,27
that land is owned by the government,30.0,1,0,1,29
burglars never leave their business card,21.0,0,1,0,34
the fire blazed all weekend,21.230769,1,2,0,20
if diplomacy does not work,17.6,1,0,1,21
please keep this confidential,19.5,0,2,1,24
the rationale behind the decision,19.333333,1,1,0,27
the cat has a pleasant temperament,13.92,2,1,0,26
our housekeeper does a thorough job,30.0,2,2,0,26
her majesty visited our country,13.5,1,2,0,24
handicapped persons need consideration,24.705882,2,0,0,33
these barracks are big enough,15.0,2,2,0,21
sing the gospel and the blues,18.0,2,1,0,21
he underwent triple bypass surgery,14.4,2,1,1,27
the hopes of a new organization,18.352941,0,0,0,26
peering through a small hole,18.0,2,2,1,20
rapidly running short on words,12.48,1,2,0,23
it is difficult to concentrate,13.0,0,2,1,24
give me one spoonful of coffee,21.428571,2,1,0,22
