Phrase,Time,INF,IF,F,C
my watch fell in the water,3.189873,0,0,0,21
prevailing wind from the east,4.477612,0,1,1,24
never too rich and never too thin,4.378378,0,0,0,27
breathing is difficult,3.428571,1,1,1,18
I can see the rings on Saturn,4.246154,1,0,0,22
physics and chemistry are hard,5.032258,0,1,0,25
my bank account is overdrawn,4.235294,0,1,0,23
elections bring out the best,4.114286,1,0,1,23
we are having spaghetti,3.2,0,1,0,19
time to go shopping,2.594595,0,0,0,16
a problem with the engine,3.452055,0,0,0,21
elephants are afraid of mice,4.235294,0,0,0,24
my favorite place to visit,4.0,0,0,0,22
three two one zero blast off,4.181818,1,0,1,22
my favorite subject is psychology,5.272727,1,1,1,27
circumstances are unacceptable,4.253165,1,1,0,26
watch out for low flying objects,5.225806,0,0,0,27
if at first you do not succeed,3.74026,1,0,0,23
please provide your date of birth,5.014925,0,1,1,27
we run the risk of failure,3.761194,0,0,1,21
prayer in schools offends some,4.875,1,1,1,24
he is just like everyone else,4.298507,1,1,1,22
great disturbance in the force,3.9,0,1,1,25
love means many things,3.04,0,0,0,19
you must be getting old,2.886076,0,0,0,19
the world is a stage,2.493506,0,0,0,16
can I skate with sister today,4.645161,0,1,1,23
neither a borrower nor a lender be,4.869565,1,0,1,27
one heck of a question,3.042254,0,0,0,18
question that must be answered,4.656716,0,0,1,26
beware the ides of March,3.2,1,1,1,18
double double toil and trouble,4.216216,1,1,0,24
the power of denial,2.630137,0,0,0,16
I agree with you,2.08,0,0,0,13
do not say anything,2.782609,0,0,0,16
play it again Sam,2.584615,0,0,0,14
the force is with you,2.833333,0,0,0,17
you are not a jedi yet,2.72,0,0,0,17
an offer you cannot refuse,3.771429,0,1,1,21
are you talking to me,3.138462,0,0,0,17
yes you are very smart,2.958904,0,0,0,18
all work and no play,2.56,0,0,0,16
hair gel is very greasy,3.5625,0,0,0,19
Valium in the economy size,3.826087,0,1,0,21
the facts get in the way,3.166667,0,0,0,19
the dreamers of dreams,3.211268,0,0,0,19
did you have a good time,3.454545,0,0,0,19
space is a high priority,4.0,0,1,0,19
you are a wonderful example,3.68,0,0,0,23
do not squander your time,4.2,1,0,1,20
do not drink too much,3.090909,0,0,0,17
take a coffee break,2.526316,0,0,0,16
popularity is desired by all,3.891892,1,1,1,22
the music is better than it sounds,4.540541,1,1,0,26
starlight and dewdrop,3.402985,0,0,0,19
the living is easy,2.465753,0,0,0,15
fish are jumping,2.709677,0,0,0,14
the cotton is high,2.903226,0,0,0,15
drove my chevy to the levee,3.71831,1,0,0,21
but the levee was dry,2.72,0,0,0,17
I took the rover from the shop,4.721311,1,1,1,22
movie about a nutty professor,4.615385,1,1,0,23
come and see our new car,3.619048,0,0,0,19
coming up with killer sound bites,5.25,1,1,1,26
I am going to a music lesson,3.882353,1,1,1,20
the opposing team is over there,4.8,1,1,1,24
soon we will return from the city,4.05,0,1,1,26
I am wearing a tie and a jacket,3.945205,0,1,1,23
the quick brown fox jumped,3.341772,0,0,1,22
all together in one big pile,3.538462,0,0,1,23
wear a crown with many jewels,3.84,1,1,1,22
there will be some fog tonight,4.0,0,0,1,25
I am allergic to bees and peanuts,4.378378,0,1,1,26
he is still on our team,2.918919,0,0,0,18
the dow jones index has risen,4.056338,1,0,1,23
my preferred treat is chocolate,4.984615,0,1,0,26
the king sends you to the tower,4.6875,1,0,0,24
we are subjects and must obey,4.114286,0,0,0,24
mom made her a turtleneck,4.0,0,1,0,20
goldilocks and the three bears,4.0,1,1,1,24
we went grocery shopping,4.064516,0,0,1,21
the assignment is due today,3.493671,1,0,0,22
what you see is what you get,4.190476,1,0,0,21
for your information only,3.52,1,1,0,20
a quarter of a century,2.769231,0,0,0,18
the store will close at ten,3.882353,0,1,0,21
head shoulders knees and toes,4.347826,1,0,1,24
vanilla flavored ice cream,3.833333,1,0,0,22
frequently asked questions,4.298507,1,1,1,22
round robin scheduling,3.076923,0,1,1,19
information super highway,3.780822,1,1,0,21
my favorite web browser,3.692308,1,0,1,19
the laser printer is jammed,4.3125,1,0,1,22
all good boys deserve fudge,3.538462,0,1,1,22
the second largest country,3.72973,0,1,0,22
call for more details,2.805195,0,0,0,18
just in time for the party,3.6,1,0,0,20
have a good weekend,2.43038,0,0,0,16
video camera with a zoom lens,4.235294,0,1,0,23
what a monkey sees a monkey will do,5.169231,0,0,0,28
that is very unfortunate,3.315789,1,0,0,20
the back yard of our house,4.2,1,0,0,20
this is a very good idea,3.352941,0,0,0,19
reading week is just about here,5.032258,1,0,0,25
our fax number has changed,3.428571,0,0,1,22
thank you for your help,3.0,0,0,0,19
no exchange without a bill,4.190476,1,0,1,21
