Phrase,Time,INF,IF,F,C
my watch fell in the water,7.2,1,1,1,19
prevailing wind from the east,6.666667,0,0,0,25
never too rich and never too thin,6.230769,1,1,0,25
breathing is difficult,5.333333,1,1,0,18
I can see the rings on Saturn,5.307692,1,0,1,22
physics and chemistry are hard,8.210526,0,0,1,26
my bank account is overdrawn,6.545455,1,1,0,22
elections bring out the best,6.697674,1,0,1,23
we are having spaghetti,6.666667,1,0,1,19
time to go shopping,4.266667,0,0,0,16
a problem with the engine,5.25,0,1,1,20
elephants are afraid of mice,6.26087,1,1,0,22
my favorite place to visit,6.439024,1,1,0,20
three two one zero blast off,5.207547,0,1,1,22
my favorite subject is psychology,9.942857,1,1,0,27
circumstances are unacceptable,8.615385,0,0,0,28
watch out for low flying objects,7.534884,0,1,1,26
if at first you do not succeed,6.4,1,0,1,23
please provide your date of birth,9.081081,1,0,1,27
we run the risk of failure,5.6,1,1,0,19
prayer in schools offends some,6.24,1,1,1,24
he is just like everyone else,7.384615,1,0,1,23
great disturbance in the force,6.117647,0,1,0,25
love means many things,4.145455,0,0,0,19
you must be getting old,5.302326,0,0,0,19
the world is a stage,3.84,0,0,0,16
can I skate with sister today,8.228571,1,1,1,22
neither a borrower nor a lender be,8.0,0,1,0,27
one heck of a question,6.171429,0,0,0,18
question that must be answered,8.666667,0,0,0,26
beware the ides of March,4.8,0,1,1,19
double double toil and trouble,7.255814,1,1,0,24
the power of denial,3.622642,0,0,0,16
I agree with you,3.183673,0,0,0,13
do not say anything,4.266667,0,0,0,16
play it again Sam,3.574468,0,0,0,14
the force is with you,3.923077,0,0,0,17
you are not a jedi yet,4.636364,0,0,0,17
an offer you cannot refuse,6.285714,1,1,1,20
are you talking to me,4.636364,0,0,0,17
yes you are very smart,4.32,0,0,0,18
all work and no play,5.333333,0,0,0,16
hair gel is very greasy,5.560976,0,0,0,19
Valium in the economy size,6.139535,0,1,0,21
the facts get in the way,6.162162,0,0,0,19
the dreamers of dreams,6.0,0,0,0,19
did you have a good time,4.384615,0,0,0,19
space is a high priority,5.333333,0,1,0,19
you are a wonderful example,7.885714,1,1,0,21
do not squander your time,5.478261,1,0,0,20
do not drink too much,3.777778,0,0,0,17
take a coffee break,3.555556,0,0,0,16
popularity is desired by all,6.12766,1,1,0,22
the music is better than it sounds,7.0,1,0,1,27
starlight and dewdrop,4.384615,0,0,0,19
the living is easy,4.736842,0,0,0,15
fish are jumping,3.36,0,0,0,14
the cotton is high,4.736842,0,0,0,15
drove my chevy to the levee,5.076923,1,1,0,20
but the levee was dry,4.533333,0,0,0,17
I took the rover from the shop,5.433962,1,1,1,22
movie about a nutty professor,5.555556,0,0,0,25
come and see our new car,5.7,0,0,0,19
coming up with killer sound bites,8.195122,1,1,1,26
I am going to a music lesson,5.076923,1,1,1,20
the opposing team is over there,7.8,1,0,0,25
soon we will return from the city,7.043478,0,1,0,26
I am wearing a tie and a jacket,6.857143,0,0,0,24
the quick brown fox jumped,7.333333,1,1,1,20
all together in one big pile,5.411765,1,0,1,22
wear a crown with many jewels,8.0,0,1,0,23
there will be some fog tonight,6.25,1,1,1,23
I am allergic to bees and peanuts,5.890909,0,0,1,27
he is still on our team,5.4,0,0,0,18
the dow jones index has risen,6.857143,1,0,1,23
my preferred treat is chocolate,6.48,0,0,0,27
the king sends you to the tower,6.818182,0,0,1,25
we are subjects and must obey,6.0,0,0,0,24
mom made her a turtleneck,6.0,0,1,1,20
goldilocks and the three bears,7.090909,1,1,0,24
we went grocery shopping,5.361702,1,1,0,19
the assignment is due today,5.111111,1,1,1,21
what you see is what you get,5.28,1,0,1,21
for your information only,6.0,0,0,0,22
a quarter of a century,5.268293,0,0,0,18
the store will close at ten,5.076923,1,0,0,21
head shoulders knees and toes,6.25,0,1,0,24
vanilla flavored ice cream,6.9,1,1,1,21
frequently asked questions,8.0,0,0,1,24
round robin scheduling,6.0,0,1,0,19
information super highway,5.207547,0,0,1,23
my favorite web browser,6.315789,1,0,1,19
the laser printer is jammed,7.666667,1,1,0,21
all good boys deserve fudge,6.9,1,1,0,21
the second largest country,5.018182,0,1,0,22
call for more details,5.4,0,0,0,18
just in time for the party,6.0,0,0,0,21
have a good weekend,3.84,0,0,0,16
video camera with a zoom lens,7.783784,1,1,0,22
what a monkey sees a monkey will do,8.195122,0,1,0,27
that is very unfortunate,4.581818,0,0,1,21
the back yard of our house,5.727273,0,1,0,20
this is a very good idea,4.470588,0,0,0,19
reading week is just about here,5.672727,0,1,0,25
our fax number has changed,5.076923,0,1,1,21
thank you for your help,5.846154,0,0,0,19
no exchange without a bill,7.542857,1,1,1,20
the early bird gets the worm,5.632653,0,0,1,23
buckle up for safety,4.25,0,0,0,17
this is too much to handle,6.146341,1,0,0,20
protect your environment,7.135135,0,1,1,21
world population is growing,5.538462,0,1,1,23
the library is closed today,6.571429,1,0,0,22
Mary had a little lamb,4.595745,0,0,0,18
teaching services will help,7.2,1,0,0,23
we accept personal checks,7.135135,0,0,1,22
this is a non profit organization,7.636364,1,0,1,27
user friendly interface,4.666667,0,0,0,21
healthy food is good for you,5.87234,0,1,1,22
hands on experience with a job,7.317073,1,0,0,24
this watch is too expensive,5.75,1,1,0,21
the postal service is very slow,7.8,1,1,0,24
communicate through email,6.272727,1,1,1,21
the capital of our nation,5.860465,1,1,1,19
travel at the speed of light,6.571429,1,1,0,21
I do not fully agree with you,5.307692,0,0,0,23
gas bills are sent monthly,4.888889,1,0,1,21
earth quakes are predictable,5.454545,1,1,1,23
life is but a dream,4.0,0,0,0,15
take it to the recycling depot,7.894737,0,0,1,25
sent this by registered mail,7.578947,0,1,1,23
fall is my favorite season,5.387755,0,0,1,22
a fox is a very smart animal,4.8,1,0,1,21
the kids are very excited,5.727273,1,1,1,19
parking lot is full of trucks,6.4,1,0,1,23
my bike has a flat tire,5.142857,0,0,0,18
do not walk too quickly,5.302326,0,0,0,19
a duck quacks to ask for food,7.459459,0,0,0,23
limited warranty of two years,5.555556,1,1,0,23
the four seasons will come,5.5,0,1,0,21
the sun rises in the east,6.315789,0,0,1,20
it is very windy today,5.268293,0,0,0,18
do not worry about this,5.181818,0,0,0,19
dashing through the snow,6.810811,1,0,0,20
want to join us for lunch,4.705882,1,1,0,18
stay away from strangers,6.0,1,0,0,20
accompanied by an adult,5.333333,0,1,1,19
see you later alligator,5.454545,1,1,0,18
make my day you sucker,3.927273,0,0,0,18
I can play much better now,4.666667,1,0,1,20
she wears too much makeup,5.04,1,0,1,20
my bare face in the wind,5.302326,0,0,0,19
batman wears a cape,4.923077,0,0,0,16
I hate baking pies,4.736842,0,0,0,15
lydia wants to go home,5.538462,0,0,0,18
win first prize in the contest,7.5,1,0,1,24
freud wrote of the ego,4.153846,0,0,0,18
I do not care if you do that,4.581818,1,0,1,20
always cover all the bases,7.333333,1,1,0,20
nobody cares anymore,5.837838,0,0,0,18
can we play cards tonight,5.04,0,1,1,20
get rid of that immediately,5.018182,1,1,1,21
I watched blazing saddles,5.866667,0,0,1,22
the sum of the parts,3.622642,0,0,0,16
they love to yap about nothing,6.521739,1,0,0,24
peek out the window,4.363636,0,0,0,16
be home before midnight,5.581395,1,0,0,19
he played a pimp in that movie,6.545455,1,1,1,22
I skimmed through your proposal,5.890909,1,0,1,26
he was wearing a sweatshirt,5.632653,1,1,1,21
no more war no more bloodshed,8.228571,1,1,1,22
toss the ball around,3.849057,0,0,0,17
I will meet you at noon,4.235294,0,0,0,18
I want to hold your hand,5.560976,0,0,0,19
the children are playing,6.0,0,0,1,21
superman never wore a mask,4.888889,0,1,1,21
I listen to the tape everyday,5.333333,0,0,0,24
he is shouting loudly,4.695652,0,0,0,18
correct your diction immediately,8.487805,0,0,0,29
seasoned golfers love the game,6.367347,0,1,0,25
